Year,Reg,Group,Bra15,Bra16,Bra17,Bra18,Bra19,Bra20,Bra21,Bra22,Bra23,Bra24,Bra25,Bra26,Bra27,Bra28,Bra29,Bra30,Bra31,Bra32,Bra33,Bra34,Bra35,Bra36,Bra37,Bra38,Bra39,Bra40,Bra41,Bra42,Bra43,Bra44,Bra45,Bra46,Bra47,Bra48,Bra49,Bra50,Bra51,Bra52,Bra53,Bra54,Bra55
1989,1146,U,1339,7547,25117,57261,107363,133187,136105,126169,113031,101606,92762,88557,80739,70049,64146,57424,48202,40594,33331,28526,22371,17518,14599,9525,7170,5038,3047,1951,1200,778,0,52,120,0,0,0,0,43,0,31,0
1989,1146,R,2188,12047,39221,97080,145510,170945,166723,148682,134160,121174,110867,97686,88510,75725,69974,62421,51309,40664,36074,31233,27578,21343,15241,10766,8929,6685,2766,2051,1786,710,587,227,0,0,0,0,0,0,0,0,0
1989,1154,T,2486,9828,31016,86444,152841,182797,175848,171778,153297,134166,123197,110226,97815,96114,74840,67518,53328,46989,42343,33012,26048,17421,16608,15043,10916,7116,4670,4596,2114,2315,393,300,0,0,0,0,0,0,0,196,0
1989,1154,U,1267,5303,21321,63765,123007,153473,159989,157000,135933,113152,112564,99566,95028,89063,71182,63146,50955,43252,35556,27647,21758,15069,14600,10767,7421,3727,2530,4162,1438,2652,0,452,0,0,0,0,0,0,0,0,0
1989,1154,R,5341,21943,62981,166203,241535,260342,212794,204202,189456,177865,146316,133268,103791,111933,83333,78186,59429,56657,60743,48085,38852,24768,22790,28266,21682,17613,11161,5808,3990,1415,1270,0,0,0,0,0,0,0,0,436,0
1989,1161,T,1315,10322,31494,82553,140557,178086,172801,170710,145477,126862,115476,108942,99804,86072,74684,66210,56520,45841,39526,31436,26949,17947,16954,13574,10038,6800,4738,2901,2594,1647,1395,0,118,0,0,0,0,0,0,0,0
1989,1161,U,491,6929,22112,62597,118721,160228,161770,161815,139539,113838,110210,105343,100021,83880,74252,62670,54665,45190,36776,29088,24649,16406,13866,11069,7321,5181,3768,1657,1407,936,1130,0,0,0,0,0,0,0,0,0,0
1989,1161,R,3558,20682,66351,167568,223199,235870,206790,196818,162227,163510,130366,119191,99180,92452,75921,76405,62070,47834,48407,39384,34794,23283,27784,22172,19239,12391,8149,7083,6343,3831,2152,0,373,0,0,0,0,0,0,0,0
1989,1166,T,1335,8357,33336,69403,138445,173216,174217,157792,157212,133108,117936,106821,99878,87573,78733,67074,58304,48387,39462,34050,27391,21934,19551,14712,9082,7856,6670,3034,2512,858,1547,503,170,291,0,0,0,0,0,0,0
1989,1166,U,896,5786,22118,52627,116755,153378,157737,145278,145675,118532,116140,100818,93220,85800,72287,63280,54019,46057,34368,30690,24260,18956,16495,11847,8109,5881,5817,2330,1876,764,1301,363,245,417,0,0,0,0,0,0,0
1989,1166,R,2623,17449,87809,156811,229095,242779,226142,194539,189938,174160,123010,124794,119902,92856,98653,79174,72102,55909,56655,45776,38394,32709,30903,25000,12500,14756,9688,5554,4780,1138,2159,819,0,0,0,0,0,0,0,0,0
1989,1168,T,2228,11130,38680,95563,156092,188704,190924,173863,157139,132948,118929,105429,90275,81059,77907,63082,54038,46785,40162,31240,27681,19110,14830,11619,9790,8431,4794,4144,2588,771,585,0,0,96,0,0,0,0,0,0,0
1989,1168,U,979,7116,26836,69460,130670,159723,174979,158966,143762,120575,113548,102480,84067,74193,77089,61476,48821,41600,35061,28468,22088,15721,13280,9415,6798,6340,3203,3281,1873,406,959,0,0,0,0,0,0,0,0,0,0
1989,1168,R,4096,18033,69965,168391,213545,247927,220030,198336,179552,153283,127601,110429,101185,92978,79372,66088,63749,56512,49919,36725,38970,25914,17978,16180,15951,12748,8021,5759,3884,1399,0,0,0,214,0,0,0,0,0,0,0
1989,1128,T,1802,6491,27913,73017,141561,178972,180410,163897,151703,134799,125011,112807,96018,89904,76949,63539,59424,45489,40969,35777,27984,25110,16651,13796,11054,7872,4005,4285,2365,1054,1068,0,0,87,0,0,0,0,0,0,0
1989,1128,U,646,5356,19646,57821,121807,158626,159978,150420,140647,117752,115481,104070,90543,85204,73027,61205,55105,41394,35115,32261,24077,23358,13658,11792,7365,5361,3570,3324,1221,802,1027,0,0,0,0,0,0,0,0,0,0
1989,1128,R,5783,11452,77922,164649,231573,255631,250179,207199,185676,186424,154326,140401,113358,105059,90028,71233,74196,59829,61991,48746,42593,31758,28079,21306,24789,17797,5758,8077,6863,1993,1213,0,0,344,0,0,0,0,0,0,0
1989,1170,T,1047,10879,34184,84822,147787,161214,172138,149258,132075,118182,102386,99329,88518,79127,67459,64119,56190,45024,40010,31505,28956,20326,17698,12044,8693,7907,4750,4361,1529,930,942,279,0,0,0,0,0,0,0,0,0
1989,1170,U,729,9270,28869,75716,138774,151378,164749,143849,127576,113227,97185,94982,85345,77508,65169,63076,54280,43563,37848,29564,26666,18692,16458,10349,7750,6629,3948,2978,1379,711,654,330,0,0,0,0,0,0,0,0,0
1989,1170,R,2697,20323,72531,154027,209839,219207,212212,177636,155011,143795,128980,122228,105607,87699,79390,69513,66667,53257,52583,43339,43299,30633,25899,23665,15199,16775,10284,13861,2550,2417,2780,0,0,0,0,0,0,0,0,0,0
1989,1178,T,638,7737,25543,65136,128209,162688,171432,160536,147869,136088,115035,106828,99918,76953,73857,66947,54204,43565,41811,32760,27779,19787,16498,11859,8711,6177,3880,2209,2038,1859,0,0,0,0,0,0,0,0,0,0,0
1989,1178,U,628,6718,22951,57662,114307,151615,164541,154161,141790,129932,109481,104271,98497,74293,71841,64920,51836,42339,41512,32081,26371,18800,15252,10387,8325,5821,3236,1671,2004,1641,0,0,0,0,0,0,0,0,0,0,0
1989,1178,R,690,14423,46980,133545,233318,231777,211382,195122,179044,168300,143803,119976,107502,91009,84324,77574,66999,50311,43541,36856,36288,26057,24582,21404,11335,8769,8760,6197,2294,3472,0,0,0,0,0,0,0,0,0,0,0
1989,1145,T,1316,5636,18625,44655,85626,115756,126505,123125,124078,115031,109448,99932,90682,79507,72833,63134,55016,46815,40688,34357,28665,22160,18351,13409,9261,7116,4254,3019,1575,894,556,121,38,15,0,0,0,13,0,0,21
1989,1145,U,1316,5637,18626,44655,85629,115759,126508,123131,124088,115036,109451,99936,90686,79513,72835,63136,55019,46817,40690,34358,28665,22147,18352,13409,9261,7116,4254,3019,1575,894,556,121,38,15,0,0,0,13,0,0,21
1989,1145,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,3100,T,903,7827,27354,66512,122440,154366,160324,154135,141558,127692,114875,103761,93905,83648,75806,68035,56520,49211,42275,36590,29472,24041,19529,14581,10392,8120,4654,3147,1741,988,529,170,39,21,19,8,0,9,0,0,25
1989,3100,U,689,6934,23751,58507,112870,143848,152014,147565,135049,123222,110571,101124,91978,81810,73946,66601,55508,48125,40370,35006,28107,23157,18670,13676,9580,7433,4132,2839,1604,767,351,149,0,0,11,10,0,10,0,0,15
1989,3100,R,2021,13194,57989,138947,192405,220448,208184,189335,175305,150786,137198,117556,104108,93391,85662,75643,61950,55196,53040,45678,37589,29481,24923,20340,15667,12913,8691,5689,2949,2873,1828,298,259,138,63,0,0,0,0,0,62
1989,1186,T,1249,6553,34710,79733,149704,187968,174004,177356,155664,139095,129518,106866,103585,92974,83936,75206,64971,58375,47979,38697,30674,26949,24619,17060,11030,8824,7943,3274,2168,2739,0,0,0,206,194,0,0,0,0,0,0
1989,1186,U,1067,6166,31005,67447,142545,178996,168418,178160,155835,138153,119534,105900,106520,94110,82194,76309,63435,58993,46567,37669,30168,26327,25703,14846,10412,7602,7379,3273,1553,908,0,0,0,0,0,0,0,0,0,0,0
1989,1186,R,2175,8861,70881,217687,205962,240946,203279,173333,154817,143909,179894,111596,89189,87325,92539,69873,72409,55366,55196,44232,33535,30482,18528,30036,14878,16667,11756,3281,6376,14144,0,0,0,1247,1134,0,0,0,0,0,0
1989,1187,T,756,10417,38102,98762,158669,182972,183489,158073,144531,130009,113777,107531,97742,85769,77144,67164,57488,49068,43338,38970,32318,25326,21088,15300,11998,8122,5097,3436,1008,249,578,0,0,0,0,0,0,0,0,0,0
1989,1187,U,690,10141,32362,87935,148639,169340,173689,151372,136475,119994,108713,103999,94082,85610,75820,63430,54970,47997,41235,37712,30914,24616,19724,14877,10115,7503,3828,3326,594,293,340,0,0,0,0,0,0,0,0,0,0
1989,1187,R,991,11547,73386,169175,203937,233234,216557,179384,169335,161028,130203,119367,110026,86315,81784,80636,66570,52980,51190,43766,37969,28345,27167,17193,20603,11114,11577,4027,3337,0,1921,0,0,0,0,0,0,0,0,0,0
1989,1111,T,1797,7226,35494,80052,159986,196510,200089,189350,169295,146404,133676,117976,104372,98356,88711,78677,65389,57398,49668,43024,33778,31049,22293,16626,12683,10107,4794,4704,2507,1003,506,424,125,101,0,0,0,0,0,0,0
