ctry,year,age,Qx_m,Qx_f,Mx_m,Mx_f,lx_m,lx_f,Lx_m,Lx_f,Tx_m,Tx_f,Ex_m,Ex_f,piv,method
Argentina,1869,17,.0087223742157221,.0084431208670139,.0087605806917466,.0084789148649986,54620.25390625,58594.53515625,54382.047,58347.172,2034604.787475586,2329592.621826172,37.250008,39.757847,pivot,OGIVE
Argentina,1869,18,.0094918748363853,.0089116143062711,.0095371372897068,.0089515002851777,54143.8359375,58099.8125,53886.875,57840.93,1980222.740600586,2271245.449951172,36.573372,39.092129,pivot,OGIVE
Argentina,1869,19,.0102440807968378,.0093589443713427,.0102968219079436,.0094029456542244,53629.91015625,57582.05078125,53355.215,57312.598,1926335.865600586,2213404.520263672,35.91906,38.43914,pivot,OGIVE
Argentina,1869,20,.0109077384695411,.0097540030255914,.0109675544695296,.0098018069194804,53080.51953125,57043.14453125,52791.023,56764.945,1872980.650756836,2156091.922607422,35.285652,37.797565,pivot,OGIVE
Argentina,1869,21,.0114685669541359,.0100955124944448,.0115347106465129,.0101467308006869,52501.53125,56486.74609375,52200.473,56201.617,1820189.627319336,2099326.977294922,34.669266,37.164948,pivot,OGIVE
Argentina,1869,22,.0119521543383598,.0104073667898774,.0120240105753359,.0104618069741916,51899.4140625,55916.484375,51589.258,55625.512,1767989.154663086,2043125.360107422,34.065685,36.538876,pivot,OGIVE
Argentina,1869,23,.0123654464259744,.010702452622354,.0124423743192146,.0107600317892194,51279.10546875,55334.5390625,50962.063,55038.43,1716399.896850586,1987499.848388672,33.471722,35.917889,pivot,OGIVE
Argentina,1869,24,.0126864826306701,.010974851436913,.0127674695719548,.0110354073800497,50645.015625,54742.32421875,50323.762,54441.93,1665437.834350586,1932461.418701172,32.884537,35.301048,pivot,OGIVE
Argentina,1869,25,.0128683904185891,.0111965546384454,.0129517245205488,.0112595884944903,50002.5078125,54141.53515625,49680.781,53838.438,1615114.072631836,1878019.489013672,32.300663,34.687222,pivot,OGIVE
Argentina,1869,26,.0129123767837882,.0113583607599139,.012996283127108,.011423235551443,49359.0546875,53535.3359375,49040.383,53231.297,1565433.291381836,1824181.051513672,31.715219,34.074337,pivot,OGIVE
Argentina,1869,27,.0128886299207807,.011483701877296,.012972227390579,.0115500208235378,48721.7109375,52927.26171875,48407.734,52623.359,1516392.908569336,1770949.754638672,31.123556,33.460068,pivot,OGIVE
Argentina,1869,28,.0128647014498711,.0116055607795715,.0129479869865919,.0116732983916575,48093.75390625,52319.4609375,47784.398,52015.863,1467985.174194336,1718326.395263672,30.523405,32.842968,pivot,OGIVE
Argentina,1869,29,.0128867896273732,.0117443324998021,.0129703624699568,.0118137045545132,47475.04296875,51712.265625,47169.141,51408.602,1420200.775756836,1666310.531982422,29.91468,32.222733,pivot,OGIVE
