Year,Reg,Group,Sex,Dra0,Dra1,Dra2,Dra3,Dra4,Dra5,Dra6,Dra7,Dra8,Dra9,Dra10,Dra11,Dra12,Dra13,Dra14,Dra15,Dra16,Dra17,Dra18,Dra19,Dra20,Dra21,Dra22,Dra23,Dra24,Dra25,Dra26,Dra27,Dra28,Dra29,Dra30,Dra31,Dra32,Dra33,Dra34,Dra35,Dra36,Dra37,Dra38,Dra39,Dra40,Dra41,Dra42,Dra43,Dra44,Dra45,Dra46,Dra47,Dra48,Dra49,Dra50,Dra51,Dra52,Dra53,Dra54,Dra55,Dra56,Dra57,Dra58,Dra59,Dra60,Dra61,Dra62,Dra63,Dra64,Dra65,Dra66,Dra67,Dra68,Dra69,Dra70,Dra71,Dra72,Dra73,Dra74,Dra75,Dra76,Dra77,Dra78,Dra79,Dra80,Dra81,Dra82,Dra83,Dra84,Dra85,Dra86,Dra87,Dra88,Dra89,Dra90,Dra91,Dra92,Dra93,Dra94,Dra95,Dra96,Dra97,Dra98,Dra99,Dra100
2015,1114,T,F,6010,460,230,0,0,0,121,369,0,142,0,285,0,305,311,790,468,308,593,536,371,1059,434,692,625,417,640,765,522,603,776,1632,1695,939,1456,1034,1667,1247,1690,2016,1493,2156,1648,2793,2260,2549,2216,2767,2964,2660,3732,3491,4689,4774,5399,5693,6872,5316,6313,6886,7585,9848,8432,11233,10356,10713,14437,12073,18918,15392,18029,24944,24130,31623,30920,36474,46592,45013,56547,61471,79469,82316,96153,110564,111246,124483,141768,159799,192767,175932,209545,261404,239924,277265,285292,267090,398750,446975,346586,354971,318486
2015,1114,U,B,5617,585,330,84,0,0,263,359,193,309,210,209,0,454,233,711,471,452,1292,796,885,497,985,974,701,937,1252,1628,1783,897,1823,1918,1993,2186,3063,2846,3071,3047,3568,3500,3234,3908,3685,4685,4812,4527,4864,4236,5848,5050,7088,7240,8124,8550,9957,10654,10999,10525,14335,13425,14802,17981,15762,18578,19544,19796,23517,20719,32660,28245,26580,34849,32210,45093,45382,51152,59682,61224,72113,80216,94635,88751,108847,124674,125804,137497,158130,174647,202280,194585,246626,254817,267101,307590,380875,236772,471598,537334,361311,333518,298866
2015,1114,U,M,5972,491,321,164,0,0,344,353,374,400,409,0,0,445,231,696,463,661,1909,1225,1263,506,1727,1462,938,1441,1871,2440,2992,1394,3132,2459,2673,3474,4633,4760,5223,5114,5852,5143,5411,5828,5955,7120,7260,6675,8018,6239,9110,7881,11312,12833,12666,12898,15562,16933,17594,19304,24718,21501,24760,30261,26419,31221,33621,34384,38563,33796,54579,52295,44102,55440,49462,73640,74250,77044,82216,90420,105501,122733,129984,107503,128951,151114,168654,153502,193514,177665,208095,208253,281209,317318,203750,237807,538877,302120,345094,700541,0,0,216383
2015,1114,U,F,5244,683,339,0,0,0,178,366,0,213,0,431,0,464,236,727,479,232,656,389,521,487,293,532,487,457,665,850,618,416,533,1381,1322,933,1519,945,971,1108,1488,1990,1259,2202,1600,2450,2624,2613,2121,2521,3140,2738,3691,2717,4445,5085,5551,5858,6065,4070,6682,7427,7550,9293,8314,9673,9575,9824,13653,12235,19008,13736,16151,23600,23163,30687,31491,39453,50012,48410,57168,61313,79839,81304,101338,115315,111067,132266,147635,173742,200481,190971,238539,241337,280931,322685,332123,220167,500161,500161,400129,373002,324891
2015,1114,R,B,7482,684,0,178,377,381,541,181,193,207,0,409,208,0,215,431,221,1334,905,1962,854,2812,1441,2292,2811,737,1378,2178,2152,2494,2070,3214,4646,2011,1408,3745,4504,2839,3144,3604,5332,3577,4013,4312,4311,4546,4743,5685,6621,6003,7679,9292,9001,11583,11340,12230,14842,15365,13741,14565,19707,18902,19229,23187,20761,23301,30461,21601,32387,28535,34384,39617,33289,43189,41268,47703,59279,51580,68463,77523,88935,84234,102610,118486,125790,130875,145584,151957,180689,166802,176220,270230,191260,228318,226821,362993,312956,347945,303133,318949,341201
2015,1114,R,M,7311,1327,0,340,720,734,1036,0,373,406,0,800,409,0,0,0,0,2162,1331,3075,1701,3074,2033,3409,4581,1124,2117,3615,3805,3776,2669,4052,6434,3010,1528,6128,5492,4018,4083,5163,8755,5153,6351,5106,7163,6686,7168,8163,10589,9533,11591,13513,12834,19089,17713,19413,21356,23047,22607,24264,33378,28262,32302,34074,31891,37292,49607,35163,52172,44589,58041,62020,47721,62967,63914,79379,96171,76375,97028,114922,112221,85780,134982,155707,169259,177358,181112,177395,162399,202579,169053,195698,169851,225052,140384,647209,285781,0,500116,0,4000931
2015,1114,R,F,7661,0,0,0,0,0,0,377,0,0,0,0,0,0,455,906,448,458,462,865,0,2558,834,1155,1003,310,575,547,271,1097,1429,2316,2717,955,1283,1272,3479,1611,2203,2079,2035,2052,1753,3534,1481,2418,2405,3258,2606,2502,3816,5084,5193,4117,5072,5329,8658,8067,5495,5680,7661,11063,8685,14507,12003,12544,16009,11744,18742,18474,21339,27158,25561,32946,30121,32313,41927,40326,55733,61657,79017,83573,90538,105789,111428,116787,135901,145898,184906,158578,177669,283379,194571,228934,244011,315411,316596,400177,290451,338611,312638
2015,1115,T,B,8074,368,430,144,149,584,142,0,317,168,250,419,86,272,369,184,545,826,749,1323,1149,1096,1163,1616,1164,1707,2575,2630,2464,1932,2305,3710,3062,3620,3850,4490,5931,4104,6374,5061,4640,6214,5569,6295,6209,7619,6215,8009,7582,9287,10304,11519,10554,12204,13366,11934,12836,16122,17613,17158,18853,19475,20186,22168,21956,24227,30249,27644,34139,24731,34003,37036,33605,45212,50423,49808,56462,59680,70799,80791,74591,92082,103939,120796,119523,133018,148852,167213,171136,203984,222079,265509,260141,323025,304493,411213,369213,559553,477531,613503,405020
2015,1115,T,M,8803,428,705,141,289,852,137,0,309,163,486,652,167,351,542,179,530,1065,365,1742,2099,1387,1723,2700,1863,2595,3491,3997,3800,2840,3650,6174,4375,5392,5661,6394,9774,5731,10269,7260,6707,10044,8333,9884,9852,12321,9358,12999,11841,14791,17471,18541,16135,19595,21695,19068,21577,26642,28649,29424,32235,34190,33537,37936,35825,38624,52631,46766,60100,34655,55717,68155,54556,79253,83749,82889,88313,90526,105202,107993,103060,128973,133543,158714,150339,171982,182322,207377,151783,227630,235186,267520,230450,321016,202565,340156,205450,584249,801256,222571,333857
2015,1115,T,F,7283,303,146,147,0,300,146,0,325,172,0,172,0,187,188,189,560,570,1154,893,167,795,589,538,484,786,1615,1213,1081,1003,932,1142,1713,1823,2019,2564,2237,2577,2720,3025,2699,2615,2962,2973,2844,3262,3356,3513,3766,4288,3970,5411,5632,5776,6259,5995,5794,7892,9220,7948,9163,9210,10953,11582,12966,14980,16263,16077,18966,18975,21964,21810,24204,30028,36265,36609,44115,47764,57910,71068,64656,79938,94730,108946,110234,122166,140434,157650,175526,198658,219479,265051,264921,323244,323112,422884,400162,554969,425704,679520,410104
