Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
1989,1138,U,F,5455,23871,29711,27665,30334,26365,34457,38328,34110,22450,20141,26463,21040,24548,17230,12322,11587,6456,3891
1989,1138,R,B,6384,27320,30632,30450,26411,26883,34009,33499,27481,20384,30940,48963,53491,56063,33934,24929,26496,14173,8253
1989,1138,R,M,3295,13911,15533,15439,15555,14518,19110,19041,15200,10326,14521,23106,24922,21484,10222,6373,5697,2786,1289
1989,1138,R,F,3089,13409,15099,15011,10856,12365,14899,14459,12281,10059,16419,25857,28569,34579,23712,18556,20800,11387,6965
1989,1142,T,B,16428,71678,83169,79188,77062,75249,99408,104410,92443,64443,67618,88789,79788,80666,47152,35481,37301,20107,10459
1989,1142,T,M,8420,36439,42400,40303,39120,38246,51258,53860,47430,31968,31795,41378,35970,31345,14077,9127,7905,3522,1422
1989,1142,T,F,8008,35239,40770,38885,37942,37004,48150,50550,45013,32475,35823,47411,43818,49321,33075,26354,29396,16586,9037
1989,1142,U,B,10561,46308,54264,51424,53580,51199,67423,72241,66039,45605,43493,53524,41783,41767,23022,16424,16066,8701,4584
1989,1142,U,M,5391,23705,27672,26186,26176,25593,34033,36050,32939,22097,20357,24800,18811,17039,7295,4701,3905,1691,707
1989,1142,U,F,5170,22604,26592,25238,27404,25606,33390,36191,33100,23508,23136,28724,22973,24728,15727,11723,12161,7010,3878
1989,1142,R,B,5868,25370,28906,27764,23482,24051,31985,32169,26404,18838,24125,35266,38005,38899,24131,19057,21235,11407,5875
1989,1142,R,M,3030,12735,14728,14117,12944,12653,17225,17810,14491,9871,11438,16579,17160,14306,6783,4426,4000,1831,715
1989,1142,R,F,2838,12635,14178,13647,10538,11398,14760,14359,11913,8967,12687,18687,20846,24593,17348,14631,17235,9576,5160
1989,1146,T,B,80360,366360,440736,423825,448631,426798,536614,576874,542369,410335,359842,490238,417403,439735,244653,169839,165599,87905,42870
1989,1146,T,M,40955,186133,224224,215647,232841,215521,261548,280652,262295,197689,166791,221405,178843,176737,75182,47846,39825,17075,6344
1989,1146,T,F,39405,180228,216512,208178,215790,211278,275067,296223,280074,212646,193051,268833,238560,262998,169471,121994,125775,70830,36527
1989,1146,U,B,63457,289010,347995,335955,364467,344488,429851,462374,441834,339674,289452,392933,328147,344583,189775,131037,123619,63585,30417
1989,1146,U,M,32376,146812,176993,170819,187711,172856,207706,222708,211249,162142,133704,176134,139207,139538,58826,37905,30980,13037,4856
1989,1146,U,F,31081,142198,171002,165136,176757,171632,222145,239666,230585,177532,155748,216799,188940,205045,130950,93132,92639,50548,25561
1989,1146,R,B,16903,77351,92741,87871,84164,82311,106764,114501,100535,70661,70391,97306,89257,95153,54878,38803,41981,24320,12454
1989,1146,R,M,8579,39321,47231,44829,45130,42665,53842,57944,51046,35547,33088,45271,39637,37200,16357,9941,8845,4038,1488
1989,1146,R,F,8325,38030,45511,43042,39034,39646,52922,56557,49489,35114,37303,52035,49620,57953,38522,28862,33136,20282,10966
1989,1154,T,B,11863,49551,59195,56632,57170,54306,68706,76019,68071,48010,45242,64488,60207,63196,37320,25247,25884,13498,7456
1989,1154,T,M,6125,25081,30174,28835,29012,27709,35367,38753,34441,23885,21278,29921,27164,24058,11365,6599,5549,2423,1052
