Year,Sex,Pdc0,Pdc1,Pdc5,Pdc10,Pdc15,Pdc20,Pdc25,Pdc30,Pdc35,Pdc40,Pdc45,Pdc50,Pdc55,Pdc60,Pdc65,Pdc70,Pdc75,Pdc80,Pdc85
1974,F,1033885,3855716,4648708,5887093,6337936,5926547,4364197,3963018,5659981,4855184,5737000,4025902,3397714,4171920,3338482,2470769,1408631,740479,532281
1975,F,1057895,3936486,4577824,5609114,6309358,6032824,5015105,3305946,5927946,4593528,5791996,4421211,3194160,4167531,3441120,2584312,1477867,764249,541128
1976,F,1064686,4012263,4581336,5310294,6296776,6141152,5415502,3013080,5929422,4578356,5699084,4837625,3181663,3980350,3545254,2669409,1572943,797632,539811
1977,F,1065355,4067847,4642978,5028352,6241444,6228264,5614661,3176357,5543215,4789500,5491059,5193434,3371745,3651829,3666965,2750039,1683987,837769,538415
1978,F,1061308,4115565,4736652,4786612,6104632,6323423,5785584,3681129,4770528,5158532,5169527,5448339,3610145,3406842,3766268,2833488,1814259,870157,546606
1979,F,1055829,4157613,4843248,4623772,5904911,6356380,5915744,4346398,3936056,5600493,4775880,5600610,3877755,3222655,3837279,2910024,1938111,896674,555259
1980,F,1062316,4180265,4953671,4554178,5643022,6340704,6022432,4990637,3283675,5859546,4518754,5654759,4250613,3027908,3820216,2985065,2018045,940956,563029
1981,F,1079001,4199135,5043538,4557441,5343440,6340336,6121819,5388128,2990036,5854541,4496010,5564170,4650572,3006368,3640541,3058945,2072308,1007561,576102
1982,F,1109997,4231703,5110268,4623848,5054388,6309734,6204243,5596785,3137011,5475913,4690136,5365298,4999917,3164503,3339487,3153284,2122713,1081222,594413
1983,F,1170169,4292998,5167993,4724864,4802357,6202826,6315469,5778900,3620883,4716771,5044496,5057266,5254723,3381711,3103980,3232564,2173622,1159665,607539
1984,F,1189157,4410862,5220778,4840305,4633704,6009308,6381910,5914991,4285768,3894368,5473670,4668290,5404752,3638917,2928859,3292643,2223218,1231947,609346
1985,F,1165132,4538274,5264992,4960729,4571011,5741361,6403688,6028811,4943219,3249156,5728000,4407459,5456885,3991534,2755344,3280350,2282325,1279642,625416
1986,F,1181789,4629579,5311664,5057983,4591649,5446407,6434029,6140637,5357378,2952300,5733920,4373317,5376836,4380542,2733855,3129578,2345036,1318223,658790
1987,F,1203540,4713564,5383437,5125828,4677051,5168326,6407897,6225090,5593084,3084759,5379004,4551182,5195981,4732297,2865881,2879865,2427179,1354628,694864
1988,F,1171385,4762001,4980567,5208542,4851163,4857488,6159310,6336885,5833804,3939308,4264432,5120983,4747478,5066474,3257029,2617128,2619298,1482143,827326
