 Item Code, CPC Code, Item
711,'01654,Anise; badian; coriander; cumin; caraway; fennel and juniper berries; raw
720,'01657,Ginger; raw
723,'01699,Other stimulant; spice and aromatic crops; n.e.c.
748,'01930.01,Peppermint; spearmint
75,'0117,Oats
754,'01930.02,Pyrethrum; dried flowers
767,'01921.02,Cotton lint; ginned
771,'01929.01,Flax; raw or retted
777,'01929.02,True hemp; raw or retted
778,'01929.03,Kapok fibre; raw
780,'01922.01,Jute; raw or retted
782,'01922.02,Kenaf; and other textile bast fibres; raw or retted
788,'01929.04,Ramie; raw or retted
789,'01929.05,Sisal; raw
79,'0118,Millet
800,'01929.06,Agave fibres; raw; n.e.c.
809,'01929.07,Abaca; manila hemp; raw
813,'01929.08,Coir; raw
821,'01929.90,Other fibre crops; raw; n.e.c.
826,'01970,Unmanufactured tobacco
83,'0114,Sorghum
836,'01950.01,Natural rubber in primary forms
839,'03211,Balata; gutta-percha; guayule; chicle and similar natural gums in primary forms or in plates; sheets or strip
866,'02111,Cattle
867,'21111.01,Meat of cattle with the bone; fresh or chilled
868,'21151,Edible offal of cattle; fresh; chilled or frozen
869,'21512,Cattle fat; unrendered
882,'02211,Raw milk of cattle
885,'22120,Cream; fresh
886,'22241.01,Butter of cow milk
887,'22241.02,Ghee from cow milk
888,'22110.02,Skim milk of cows
889,'22222.01,Whole milk; condensed
89,'01192,Buckwheat
890,'22130.03,Whey; condensed
891,'22230.01,Yoghurt
894,'22221.01,Whole milk; evaporated
895,'22221.02,Skim milk; evaporated
896,'22222.02,Skim milk; condensed
897,'22211,Whole milk powder
898,'22212,Skim milk and whey powder
899,'22230.04,Buttermilk; dry
900,'22130.02,Whey; dry
901,'22251.01,Cheese from whole cow milk
904,'22251.02,Cheese from skimmed cow milk
919,'02951.01,Raw hides and skins of cattle
92,'01194,Quinoa
94,'01193,Fonio
946,'02112,Buffalo
947,'21112,Meat of buffalo; fresh or chilled
948,'21152,Edible offal of buffalo; fresh; chilled or frozen
949,'21513,Buffalo fat; unrendered
951,'02212,Raw milk of buffalo
952,'22242.01,Butter of buffalo milk
953,'22242.02,Ghee from buffalo milk
955,'22252,Cheese from milk of buffalo; fresh or processed
957,'02951.03,Raw hides and skins of buffaloes
97,'01191,Triticale
976,'02122,Sheep
977,'21115,Meat of sheep; fresh or chilled
978,'21155,Edible offal of sheep; fresh; chilled or frozen
979,'21514,Sheep fat; unrendered
982,'02291,Raw milk of sheep
983,'22249.01,Butter and ghee of sheep milk
984,'22253,Cheese from milk of sheep; fresh or processed
987,'02941,Shorn wool; greasy; including fleece-washed shorn wool
995,'02953,Raw hides and skins of sheep or lambs
