RENGLON,AÑO,ENTIDAD,CVE_GEO,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_AÑO,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_AÑO,NAC,POB_MIT_AÑO,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMI,TEF_ADO,TGF
21,1970,República Mexicana,0,1710131,-172746,1537385,533249,16,ND,191801,58.37,62.32,60.30,25800414,8.05,ND,19055,ND,-172746,25760153,2243380,51560567,1839155,1593000,2521982,6326632,10990240,2989906,2060924,2618689,6548808,4449655,1028601,1885054,1612467,2539546,6326356,10958696,2976097,2049018,2685043,6407715,4565125,904151,3724209,3205467,5061528,12652988,21948936,5966003,4109942,5303732,12956523,9014780,1932752,7.55,93.79,101.33,10.34,43.51,3.32,-0.34,2.98,ND,ND,ND,-0.34,75.65,133.39,6.51
22,1970,Aguascalientes,1,11556,ND,ND,4160,15,ND,ND,56.88,60.49,58.62,179225,8.70,ND,ND,ND,ND,181937,15716,361162,13275,11364,17874,43078,74577,20455,13945,19000,45561,32349,7841,13612,11470,17930,42509,71607,20142,13682,19503,41733,33276,7221,26887,22834,35804,85587,146184,40597,27627,38503,87294,65625,15062,8.71,100.20,108.91,11.52,43.52,3.20,ND,ND,ND,ND,ND,ND,80.58,126.44,6.89
23,1970,Baja California,2,29240,ND,ND,5522,16,ND,ND,65.06,68.16,66.56,458634,5.93,ND,ND,ND,ND,458693,34762,917327,35096,30322,47847,118052,202786,55783,38258,46368,115053,83208,13125,34624,29301,45878,111964,201224,52392,35815,46899,120762,83164,12130,69720,59623,93725,230016,404010,108175,74073,93267,235815,166372,25255,5.42,91.50,96.92,6.02,37.89,3.19,ND,ND,ND,ND,ND,ND,45.27,120.24,5.42
24,1970,Baja California Sur,3,3962,ND,ND,1091,16,ND,ND,62.26,65.15,63.48,69679,7.94,ND,ND,ND,ND,66111,5053,135790,4950,4178,6565,16199,27707,7608,5221,6935,16160,12199,2618,5149,4383,6899,17371,30339,8121,5605,7066,18000,12466,2389,10099,8561,13464,33570,58046,15729,10826,14001,34160,24665,5007,7.39,93.09,100.49,8.03,37.21,2.92,ND,ND,ND,ND,ND,ND,58.66,124.14,5.78
25,1970,Campeche,4,8512,ND,ND,3163,16,ND,ND,56.67,59.11,57.81,137452,7.71,ND,ND,ND,ND,134933,11675,272385,9922,8645,13669,33759,58664,15994,10970,13743,33836,23590,4629,9931,8620,13604,33698,59625,15924,10940,13703,35896,23440,5049,19853,17265,27273,67457,118289,31918,21910,27446,69732,47030,9678,7.05,91.49,98.55,11.61,42.86,3.12,ND,ND,ND,ND,ND,ND,83.85,125.83,6.39
26,1970,Coahuila,5,35165,ND,ND,11153,16,ND,ND,59.02,62.60,60.75,597209,8.29,ND,ND,ND,ND,582953,46318,1180162,42500,36748,58031,143874,250794,67952,46669,58343,151357,101836,22809,44520,38256,60192,147847,254946,69792,47856,60805,151450,106373,22037,87020,75004,118223,291721,505740,137744,94525,119148,302807,208209,44846,7.54,90.96,98.50,9.45,39.25,2.98,ND,ND,ND,ND,ND,ND,72.07,124.92,5.91
27,1970,Colima,6,7742,ND,ND,2595,16,ND,ND,58.21,61.79,59.89,128866,8.00,ND,ND,ND,ND,126883,10337,255749,9495,8106,12739,30744,52779,14564,9931,13100,31595,22935,5140,9826,8341,13067,31507,53728,14885,10159,13439,31735,23590,4506,19321,16447,25806,62251,106507,29449,20090,26539,63330,46525,9646,7.68,95.97,103.65,10.15,40.42,3.03,ND,ND,ND,ND,ND,ND,77.52,126.07,6.35
28,1970,Chiapas,7,62262,ND,ND,23085,15,ND,ND,54.37,56.96,55.57,867492,5.95,ND,ND,ND,ND,841925,85347,1709417,60807,53438,85198,218326,360211,104056,72296,91397,189028,149065,24298,63677,53926,84916,214959,364048,100693,69703,94669,199460,157178,25547,124484,107364,170114,433285,724259,204749,141999,186066,388488,306243,49845,6.07,101.95,108.02,13.50,49.93,3.64,ND,ND,ND,ND,ND,ND,94.34,147.73,7.33
29,1970,Chihuahua,8,52575,ND,ND,14877,16,ND,ND,60.09,63.87,61.92,856814,7.60,ND,ND,ND,ND,841426,67452,1698240,61807,52983,83540,207730,361399,97736,67179,85004,216433,149164,30704,64083,54253,85049,209166,364771,97941,67145,88100,218223,154760,29078,125890,107236,168589,416896,726170,195677,134324,173104,434656,303924,59782,7.02,92.41,99.43,8.76,39.72,3.10,ND,ND,ND,ND,ND,ND,68.20,125.02,5.95
30,1970,Ciudad de México,9,254279,ND,ND,52160,18,ND,ND,64.13,69.73,67.05,3555034,8.46,ND,ND,ND,ND,3781286,306439,7336320,258743,242408,391904,1021255,1761178,492685,343189,329173,1046006,568908,162745,246947,227513,367785,983064,1660638,471806,331534,336445,918647,564535,99947,505690,469921,759689,2004319,3421816,964491,674723,665618,1964653,1133443,262692,6.62,78.22,84.84,7.11,41.77,3.47,ND,ND,ND,ND,ND,ND,52.51,120.94,5.47
31,1970,Durango,10,31634,ND,ND,10601,15,ND,ND,57.24,60.71,58.90,505377,7.86,ND,ND,ND,ND,485354,42235,990731,35865,29976,46921,113972,197954,53437,36492,52525,118680,89816,18430,38085,31666,49372,118590,204510,55537,37831,55112,121559,94843,19299,73950,61642,96293,232562,402464,108974,74323,107637,240239,184659,37729,7.98,101.57,109.55,10.70,42.63,3.19,ND,ND,ND,ND,ND,ND,81.44,139.70,6.86
32,1970,Guanajuato,11,78482,ND,ND,27138,15,ND,ND,56.88,60.51,58.64,1214354,8.43,ND,ND,ND,ND,1200594,105620,2414948,88120,74493,116845,282335,487574,133128,90776,128298,293875,217959,50265,92101,77210,120519,287229,488217,135262,91953,132558,284166,226599,48250,180221,151703,237364,569564,975791,268390,182729,260856,578041,444558,98515,8.58,101.85,110.43,11.24,43.74,3.25,ND,ND,ND,ND,ND,ND,81.85,138.53,7.00
33,1970,Guerrero,12,65261,ND,ND,20762,15,ND,ND,56.88,60.53,58.66,868391,7.20,ND,ND,ND,ND,866432,86023,1734823,61618,51755,81397,204859,359834,95567,65925,93167,210401,154435,31701,64118,52750,82009,199191,351840,92218,62959,95650,206862,159748,29645,125736,104505,163406,404050,711674,187785,128884,188817,417263,314183,61346,7.47,103.76,111.23,11.97,49.59,3.76,ND,ND,ND,ND,ND,ND,84.02,152.87,7.59
34,1970,Hidalgo,13,41630,ND,ND,15833,16,ND,ND,55.45,59.50,57.42,643761,8.35,ND,ND,ND,ND,635854,57463,1279615,44761,37436,58825,147727,261173,68935,47546,67186,160618,112957,27519,47456,39853,62297,153125,269194,71284,48840,67447,160667,115397,23122,92217,77289,121122,300852,530367,140219,96386,134633,321285,228354,50641,8.14,97.54,105.68,12.37,44.91,3.25,ND,ND,ND,ND,ND,ND,90.37,142.29,7.06
35,1970,Jalisco,14,122019,ND,ND,37881,16,ND,ND,58.54,63.00,60.74,1748893,8.86,ND,ND,ND,ND,1774813,159900,3523706,126871,110473,174802,429500,734309,204712,140383,180293,446189,303860,79553,129405,111417,175510,427377,715457,203426,139333,184503,415587,310625,67305,256276,221890,350312,856877,1449766,408138,279716,364796,861776,614485,146858,8.54,96.48,105.03,10.75,45.38,3.46,ND,ND,ND,ND,ND,ND,74.84,140.10,7.03
36,1970,México,15,131764,ND,ND,38660,15,ND,ND,59.04,61.53,60.16,2083107,6.48,ND,ND,ND,ND,2041157,170424,4124264,146408,123241,194421,495986,862583,231345,160165,223564,493312,374250,70491,151660,126592,198896,506774,893047,235103,162799,229977,506005,386196,58737,298068,249833,393317,1002760,1755630,466448,322964,453541,999317,760446,129228,6.45,99.54,106.00,9.37,41.32,3.19,ND,ND,ND,ND,ND,ND,70.26,125.59,6.22
37,1970,Michoacán,16,84871,ND,ND,29490,15,ND,ND,56.56,60.52,58.48,1253462,8.35,ND,ND,ND,ND,1237721,114361,2491183,91051,76561,119828,287504,500255,135391,92124,131859,303445,224164,51043,96162,79829,123959,288680,494634,135720,91590,136717,293549,235089,50488,187213,156390,243787,576184,994889,271111,183714,268576,596994,459253,101531,8.65,103.69,112.34,11.84,45.91,3.41,ND,ND,ND,ND,ND,ND,84.62,149.28,7.41
38,1970,Morelos,17,20016,ND,ND,7095,16,ND,ND,57.47,61.17,59.25,329844,9.23,ND,ND,ND,ND,329388,27111,659232,23727,20132,31645,78607,140667,36720,25207,33235,85167,57724,14866,24378,20597,32269,79356,141181,37077,25405,33737,83395,58784,13256,48105,40729,63914,157963,281848,73797,50612,66972,168562,116508,28122,8.61,93.28,101.89,10.76,41.13,3.04,ND,ND,ND,ND,ND,ND,78.40,125.68,6.19
39,1970,Nayarit,18,17406,ND,ND,6157,16,ND,ND,57.22,60.68,58.87,292346,8.04,ND,ND,ND,ND,282378,23563,574724,21143,17651,27557,65864,114843,30917,21011,29891,70777,52155,11067,22246,18842,29449,70187,120951,33096,22489,30362,73115,53342,10862,43389,36493,57006,136051,235794,64013,43500,60253,143892,105497,21929,7.83,97.47,105.30,10.71,41.00,3.03,ND,ND,ND,ND,ND,ND,81.35,124.40,6.72
40,1970,Nuevo León,19,54877,ND,ND,14528,17,ND,ND,61.62,65.57,63.55,900894,8.36,ND,ND,ND,ND,887666,69405,1788560,62252,55061,87789,226440,392557,107107,74379,86412,235366,148309,35387,64000,56090,89303,232961,400691,109750,76537,90326,231619,154204,31131,126252,111151,177092,459401,793248,216857,150916,176738,466985,302513,66518,7.18,85.89,93.07,8.12,38.80,3.07,ND,ND,ND,ND,ND,ND,60.46,122.00,5.56
41,1970,Oaxaca,20,79241,ND,ND,29366,16,ND,ND,55.88,59.61,57.68,1090777,8.66,ND,ND,ND,ND,1101585,108607,2192362,74384,62638,98681,252658,456669,117268,81225,113863,290128,186798,45982,76216,63452,99018,246466,448656,113566,78000,113268,284070,187388,43165,150600,126090,197699,499124,905325,230834,159225,227131,574198,374186,89147,8.31,95.95,104.26,13.39,49.54,3.61,ND,ND,ND,ND,ND,ND,91.55,153.48,7.62
42,1970,Puebla,21,96431,ND,ND,35500,16,ND,ND,55.86,60.24,58.02,1357952,9.19,ND,ND,ND,ND,1365009,131931,2722961,93562,79914,125964,315655,567719,147795,101745,137730,358813,228159,63249,97461,82056,128435,315312,558670,147282,100903,141271,341462,236446,53872,191023,161970,254399,630967,1126389,295077,202648,279001,700275,464605,117121,8.80,95.75,104.54,13.04,48.45,3.54,ND,ND,ND,ND,ND,ND,87.32,151.28,7.51
43,1970,Querétaro,22,17377,ND,ND,6159,15,ND,ND,56.38,59.93,58.10,261522,8.40,ND,ND,ND,ND,258386,23536,519908,18441,15528,24386,59894,103882,28149,19291,28124,63144,46594,11117,19220,16123,25247,61746,105730,28972,19848,28825,61753,48097,10075,37661,31651,49633,121640,209612,57121,39139,56949,124897,94691,21192,8.60,102.29,110.88,11.85,45.27,3.34,ND,ND,ND,ND,ND,ND,82.09,146.64,7.28
44,1970,Quintana Roo,23,2797,ND,ND,1010,16,ND,ND,55.17,58.69,56.72,49898,5.22,ND,ND,ND,ND,45823,3807,95721,3398,2947,4689,11870,19609,5659,3917,5270,10179,8675,980,3452,3033,4859,12925,22211,6110,4284,5225,12728,8623,1404,6850,5980,9548,24795,41820,11769,8201,10495,22907,17298,2384,5.00,95.67,100.66,10.55,39.77,2.92,ND,ND,ND,ND,ND,ND,79.95,125.19,6.02
45,1970,San Luis Potosí,24,46982,ND,ND,17002,16,ND,ND,56.28,60.06,58.10,695299,8.90,ND,ND,ND,ND,678719,63984,1374018,48231,40510,63513,156332,277150,73046,50043,71768,170302,119877,29440,50919,42709,66641,160610,283223,75056,51124,73701,171871,124316,29000,99150,83219,130154,316942,560373,148102,101167,145469,342173,244193,58440,8.87,99.60,108.46,12.37,46.57,3.42,ND,ND,ND,ND,ND,ND,86.21,149.91,7.44
46,1970,Sinaloa,25,40529,ND,ND,11689,16,ND,ND,60.01,63.33,61.57,682656,7.37,ND,ND,ND,ND,652575,52218,1335231,49339,42113,66251,161426,273208,76389,52251,68822,157555,120343,24090,51604,44109,69370,170591,291901,80507,55246,71185,168893,124867,22363,100943,86222,135621,332017,565109,156896,107497,140007,326448,245210,46453,7.05,95.72,102.78,8.75,39.11,3.04,ND,ND,ND,ND,ND,ND,67.97,125.72,6.09
47,1970,Sonora,26,36712,ND,ND,9192,16,ND,ND,61.96,65.30,63.55,587509,7.20,ND,ND,ND,ND,578528,45904,1166037,43614,37523,59148,145548,249111,68769,47144,58528,144724,103944,20013,43647,37572,59057,145570,257745,68334,46849,57915,156006,102448,18547,87261,75095,118205,291118,506856,137103,93993,116443,300730,206392,38560,6.52,90.50,97.02,7.88,39.37,3.15,ND,ND,ND,ND,ND,ND,59.74,124.72,5.86
48,1970,Tabasco,27,26022,ND,ND,8893,15,ND,ND,56.25,58.68,57.38,413814,6.45,ND,ND,ND,ND,400218,34915,814032,31185,26478,41660,101598,166507,48144,32962,44602,86571,77052,12371,31836,26599,41618,101447,171587,47603,32584,45914,93618,79146,13743,63021,53077,83278,203045,338094,95747,65546,90516,180189,156198,26114,6.81,105.60,112.41,10.92,42.89,3.20,ND,ND,ND,ND,ND,ND,84.00,125.37,6.58
49,1970,Tamaulipas,28,46933,ND,ND,14259,17,ND,ND,59.71,63.24,61.41,768208,8.46,ND,ND,ND,ND,769356,61192,1537564,55297,47761,75567,190419,334942,89583,61777,77050,201293,133676,29470,55594,47193,74004,183238,329473,85396,58585,77080,204987,133735,29636,110891,94954,149571,373657,664415,174979,120362,154130,406280,267411,59106,7.58,89.56,97.14,9.27,39.80,3.05,ND,ND,ND,ND,ND,ND,69.94,124.27,5.81
