RENGLON,AÑO,ENTIDAD,CVE_GEO,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_AÑO,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_AÑO,NAC,POB_MIT_AÑO,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMI,TEF_ADO,TGF
1381,2011,Chiapas,7,110121,ND,ND,26135,21,ND,ND,69.71,75.71,72.69,2473276,13.66,ND,ND,ND,ND,2563475,136256,5036751,169641,166364,274408,732444,1331454,353776,245732,179844,815865,347894,124456,172374,166923,273316,692101,1225421,339080,232687,184254,747929,354899,121740,342015,333287,547724,1424545,2556875,692856,478419,364098,1563794,702793,246196,8.24,60.31,68.55,5.19,27.05,2.19,ND,ND,ND,ND,ND,ND,18.13,89.60,3.14
1382,2011,Chihuahua,8,47839,ND,ND,16085,25,ND,ND,72.71,78.56,75.58,1738219,19.52,ND,ND,ND,ND,1758064,63924,3496283,102747,101570,168290,464765,946866,222190,155470,103868,671691,210524,107760,105776,105037,174242,472441,934067,229364,160159,106953,641062,215913,95752,208523,206607,342532,937206,1880933,451554,315629,210821,1312753,426437,203512,9.05,46.35,55.39,4.60,18.28,1.37,ND,ND,ND,ND,ND,ND,13.00,75.74,2.17
1383,2011,Ciudad de México,9,90228,ND,ND,51257,30,ND,ND,73.59,79.42,76.61,4341506,35.95,ND,ND,ND,ND,4732780,141485,9074286,209025,220350,375169,1167319,2591097,551641,396822,201453,2103731,406230,438656,213588,225727,384305,1158667,2409085,559263,400685,207932,1824796,415303,307042,422613,446077,759474,2325986,5000182,1110904,797507,409385,3928527,821533,745698,11.92,33.16,45.08,5.65,15.59,0.99,ND,ND,ND,ND,ND,ND,12.92,60.83,1.83
1384,2011,Durango,10,28248,ND,ND,8992,24,ND,ND,71.62,77.53,74.55,837824,20.34,ND,ND,ND,ND,861495,37240,1699319,52107,51811,85771,230998,450110,111618,77658,53050,309505,105233,56474,53634,53460,88390,230086,428886,113202,78272,54546,283032,107798,52641,105741,105271,174161,461084,878996,224820,155930,107596,592537,213031,109115,10.36,50.93,61.28,5.29,21.91,1.66,ND,ND,ND,ND,ND,ND,15.12,82.63,2.62
1385,2011,Guanajuato,11,89690,ND,ND,30068,24,ND,ND,71.37,77.30,74.40,2746163,18.96,ND,ND,ND,ND,2941155,119758,5687318,179133,179066,297418,820109,1578388,394456,276104,175711,1049679,357177,183879,181231,178869,294822,768079,1421269,375445,259492,180825,913952,363966,156410,360364,357935,592240,1588188,2999657,769901,535596,356536,1963631,721143,340289,9.58,50.54,60.12,5.29,21.06,1.58,ND,ND,ND,ND,ND,ND,15.77,80.97,2.35
1386,2011,Guerrero,12,61065,ND,ND,21793,22,ND,ND,69.85,75.88,72.91,1706154,20.10,ND,ND,ND,ND,1804757,82858,3510911,118418,116004,190205,489802,906311,237413,163212,115543,597934,235148,128582,119980,116323,189587,465619,827653,228845,155581,118845,527515,239801,110764,238398,232327,379792,955421,1733964,466258,318793,234388,1125449,474949,239346,11.50,57.22,68.72,6.21,23.60,1.74,ND,ND,ND,ND,ND,ND,18.12,85.79,2.85
1387,2011,Hidalgo,13,38489,ND,ND,16063,25,ND,ND,70.85,76.82,73.90,1335401,21.90,ND,ND,ND,ND,1430572,54552,2765973,83211,82485,136783,380336,761235,181351,127053,82705,536248,168089,99014,85105,83597,137486,355718,679757,173372,119483,85216,468429,171891,85173,168316,166082,274269,736054,1440992,354723,246536,167921,1004677,339980,184187,10.58,48.32,58.90,5.81,19.72,1.39,ND,ND,ND,ND,ND,ND,16.53,80.24,2.27
1388,2011,Jalisco,14,117570,ND,ND,39392,25,ND,ND,72.30,78.19,75.25,3746988,21.00,ND,ND,ND,ND,3886555,156962,7633543,223563,223729,372967,1054010,2073966,504957,355719,226292,1441485,452235,260110,228618,229940,383393,1051432,1982946,513291,359838,233495,1313315,461459,221272,452181,453669,756360,2105442,4056912,1018248,715557,459787,2754800,913694,481382,9.90,47.16,57.06,5.16,20.56,1.54,ND,ND,ND,ND,ND,ND,14.28,80.92,2.37
1389,2011,México,15,237579,ND,ND,73749,25,ND,ND,71.83,77.67,74.78,7689943,17.47,ND,ND,ND,ND,8069413,311328,15759356,452330,454289,758847,2178955,4465378,1037505,732947,459491,3156866,916752,445297,461630,464080,774149,2138162,4176190,1040017,729948,473460,2839899,935764,364482,913960,918369,1532996,4317117,8641568,2077522,1462895,932951,5996765,1852516,809779,7.85,44.95,52.80,4.68,19.76,1.51,ND,ND,ND,ND,ND,ND,14.86,78.65,2.23
1390,2011,Michoacán,16,70149,ND,ND,28270,24,ND,ND,70.59,76.60,73.63,2182406,23.11,ND,ND,ND,ND,2325230,98419,4507636,138619,140131,233286,637786,1212852,309373,216218,138170,820308,275179,172839,139304,139174,230240,599951,1100591,295318,204252,141806,723888,278971,151126,277923,279305,463526,1237737,2313443,604691,420470,279976,1544196,554150,323965,11.65,50.39,62.03,6.27,21.83,1.56,ND,ND,ND,ND,ND,ND,16.73,80.61,2.53
1391,2011,Morelos,17,22100,ND,ND,10796,26,ND,ND,71.43,77.36,74.45,890211,25.40,ND,ND,ND,ND,950585,32896,1840796,53067,54060,90343,253405,510280,122035,85752,50357,369045,104027,71825,54100,54771,91187,244089,464262,120024,83608,52311,321771,106858,60333,107167,108831,181530,497494,974542,242059,169360,102668,690816,210885,132158,11.12,43.79,54.91,5.86,17.87,1.20,ND,ND,ND,ND,ND,ND,15.84,69.79,2.07
1392,2011,Nayarit,18,16554,ND,ND,6347,25,ND,ND,71.96,77.89,74.85,562254,23.52,ND,ND,ND,ND,564093,22901,1126347,32414,32550,54244,150785,295984,72654,50960,33597,207033,65999,40591,33663,33941,56515,152766,290969,74764,52190,34934,198908,68208,38787,66077,66491,110759,303551,586953,147418,103150,68531,405941,134207,79378,11.19,47.57,58.75,5.64,20.33,1.47,ND,ND,ND,ND,ND,ND,15.67,80.10,2.44
1393,2011,Nuevo León,19,70654,ND,ND,20139,27,ND,ND,74.74,80.53,77.59,2424179,21.50,ND,ND,ND,ND,2430498,90793,4854677,130773,130750,218455,636338,1334639,301046,213341,134191,971546,267233,157183,134934,136118,228265,659369,1342320,316944,224797,138698,944526,274746,133555,265707,266868,446720,1295707,2676959,617990,438138,272889,1916072,541979,290738,9.05,42.10,51.15,4.15,18.70,1.46,ND,ND,ND,ND,ND,ND,12.51,77.21,2.20
1394,2011,Oaxaca,20,58188,ND,ND,26039,24,ND,ND,70.15,76.17,73.25,1885701,24.06,ND,ND,ND,ND,2048104,84227,3933805,126770,124794,205319,543645,1038790,261439,180914,122764,715314,251711,164465,127590,123764,201790,500538,915357,244677,166651,125940,609700,255287,138949,254360,248558,407109,1044183,1954147,506116,347565,248704,1325014,506998,303414,12.81,53.23,66.04,6.62,21.41,1.48,ND,ND,ND,ND,ND,ND,18.19,80.90,2.54
1395,2011,Puebla,21,99469,ND,ND,34519,23,ND,ND,70.50,76.47,73.58,2890232,19.52,ND,ND,ND,ND,3128972,133988,6019204,190245,188999,313136,855813,1644607,411321,287184,189718,1107019,381390,209899,192474,189286,311616,804282,1468639,394090,271760,195078,940867,388149,167521,382719,378285,624752,1660095,3113246,805411,558944,384796,2047886,769539,377420,10.18,52.15,62.33,5.73,22.26,1.65,ND,ND,ND,ND,ND,ND,17.19,80.90,2.54
1396,2011,Querétaro,22,31665,ND,ND,8797,24,ND,ND,72.22,78.07,75.18,933014,16.76,ND,ND,ND,ND,981806,40462,1914820,57243,58093,97185,277959,545761,132956,93864,57177,363362,113936,53441,58463,58774,97891,267502,504835,130391,91274,59285,325109,117365,44313,115706,116867,195076,545461,1050596,263347,185138,116462,688471,231301,97754,7.92,47.26,55.18,4.59,21.13,1.65,ND,ND,ND,ND,ND,ND,15.02,80.81,2.31
1397,2011,Quintana Roo,23,23367,ND,ND,4914,25,ND,ND,72.69,78.57,75.47,703446,10.82,ND,ND,ND,ND,681820,28281,1385266,38514,39721,67417,207172,404060,98410,70714,41349,252355,79277,21794,39845,41539,70717,214931,416105,103606,74428,42526,259716,81273,22254,78359,81260,138134,422103,820165,202016,145142,83875,512071,160550,44048,4.72,43.57,48.29,3.55,20.42,1.69,ND,ND,ND,ND,ND,ND,14.88,73.72,2.13
1398,2011,San Luis Potosí,24,38275,ND,ND,15344,24,ND,ND,71.70,77.68,74.70,1304833,23.21,ND,ND,ND,ND,1368167,53619,2673000,84154,83044,136901,366342,712738,176023,122166,80143,491252,166555,100576,85820,84589,138952,353663,657345,173477,119114,82360,439309,169725,92025,169974,167633,275853,720005,1370083,349500,241280,162503,930561,336280,192601,11.67,50.28,61.94,5.74,20.06,1.43,ND,ND,ND,ND,ND,ND,16.39,80.89,2.37
1399,2011,Sinaloa,25,39510,ND,ND,15148,26,ND,ND,72.18,78.12,75.09,1427804,23.01,ND,ND,ND,ND,1441683,54658,2869487,83900,84284,139933,382403,765638,184180,128531,80473,549675,165370,99483,86510,87641,145762,389279,752001,190945,132824,83854,521983,170150,92479,170410,171925,285695,771682,1517639,375125,261355,164327,1071658,335520,191962,10.41,45.25,55.67,5.28,19.05,1.38,ND,ND,ND,ND,ND,ND,14.67,80.39,2.28
1400,2011,Sonora,26,38030,ND,ND,12710,26,ND,ND,73.15,78.98,75.98,1381631,20.56,ND,ND,ND,ND,1367574,50740,2749205,78961,78044,129343,359729,730971,171444,120145,79021,526972,160691,86505,82346,82308,136749,374379,740407,181233,126792,81827,520117,165773,78550,161307,160352,266092,734108,1471378,352677,246937,160848,1047089,326464,165055,9.27,45.08,54.35,4.62,18.46,1.38,ND,ND,ND,ND,ND,ND,14.01,78.34,2.22
1401,2011,Tabasco,27,35966,ND,ND,12016,24,ND,ND,70.58,76.53,73.53,1139850,17.17,ND,ND,ND,ND,1176289,47982,2316139,68657,69141,115595,331788,650542,158341,111887,70442,433678,139327,62139,69810,69821,116278,319192,607395,155342,108885,73095,402636,142892,59296,138467,138962,231873,650980,1257937,313683,220772,143537,836314,282219,121435,8.16,47.56,55.73,5.19,20.72,1.55,ND,ND,ND,ND,ND,ND,16.82,80.62,2.29
1402,2011,Tamaulipas,28,45218,ND,ND,16655,26,ND,ND,72.58,78.46,75.49,1664337,21.68,ND,ND,ND,ND,1699430,61873,3363767,93538,92711,154379,443641,922525,209915,148247,96718,667012,193265,112911,96869,96602,160852,447776,897912,215994,151744,99784,628935,198508,96668,190407,189313,315231,891417,1820437,425909,299991,196502,1295947,391773,209579,9.58,44.20,53.78,4.95,18.39,1.34,ND,ND,ND,ND,ND,ND,14.08,75.39,2.17
1403,2011,Tlaxcala,29,19051,ND,ND,6800,24,ND,ND,70.76,76.72,73.79,591973,18.81,ND,ND,ND,ND,629043,25851,1221016,37274,36975,61410,172605,340266,82216,57781,37557,229794,75520,38462,38162,37760,62458,165417,308467,80815,56117,38886,199406,77450,33375,75436,74735,123868,338022,648733,163031,113898,76443,429200,152970,71837,9.36,49.78,59.15,5.57,21.17,1.56,ND,ND,ND,ND,ND,ND,15.97,80.85,2.38
1404,2011,Veracruz,30,97435,ND,ND,48721,26,ND,ND,70.92,76.89,73.95,3831501,25.91,ND,ND,ND,ND,4078842,146156,7910343,231272,232191,385572,1064800,2157269,510412,357031,217941,1580023,452864,316495,237764,237463,392222,1021304,1960673,500752,345993,225190,1386845,465477,271584,469036,469654,777794,2086104,4117942,1011164,703024,443131,2966868,918341,588079,11.64,44.91,56.55,6.16,18.48,1.23,ND,ND,ND,ND,ND,ND,16.95,76.00,2.18
1405,2011,Yucatán,31,25290,ND,ND,11472,26,ND,ND,71.71,77.64,74.64,999260,24.87,ND,ND,ND,ND,1026033,36762,2025293,57532,58950,98913,283027,557033,136084,96121,54934,390676,112801,73070,59225,60841,102065,284670,536528,139232,98008,56006,360760,115230,67593,116757,119791,200978,567697,1093561,275316,194129,110940,751436,228031,140663,10.66,42.87,53.53,5.66,18.15,1.25,ND,ND,ND,ND,ND,ND,16.45,70.16,2.07
1406,2011,Zacatecas,32,24890,ND,ND,9548,24,ND,ND,70.93,76.90,73.91,755267,23.22,ND,ND,ND,ND,789264,34438,1544531,46924,46699,77463,211601,409977,102039,71275,48452,278901,95290,58217,47911,47255,77894,201746,378117,98916,68277,49855,251558,97556,54983,94835,93954,155357,413347,788094,200955,139552,98307,530459,192846,113200,11.99,51.66,63.65,6.18,22.30,1.61,ND,ND,ND,ND,ND,ND,16.06,83.15,2.65
1407,2012,República Mexicana,0,1677116,-128486,1548630,624104,26,ND,287888,72.04,77.81,74.93,57750657,21.87,ND,159402,ND,-128486,60309857,2301220,118060514,3433721,3406938,5686745,16144317,32407064,7737543,5457736,3413173,23009172,6830557,4089548,3510467,3477377,5793677,15914347,30505038,7753606,5437306,3529728,20809640,6991822,3479899,6944188,6884315,11480422,32058664,62912102,15491149,10895042,6942901,43818812,13822379,7569447,9.98,45.62,55.59,5.29,19.49,1.42,-0.11,1.31,ND,ND,ND,-0.11,15.21,77.32,2.26
1408,2012,Aguascalientes,1,21186,ND,ND,5505,24,ND,ND,73.20,78.88,76.07,619125,16.53,ND,ND,ND,ND,646847,26691,1265972,39595,38843,64451,177766,348176,85541,59933,39253,236266,78889,35968,40238,39615,65759,176499,326351,86464,60320,40933,210071,80688,30052,79833,78458,130210,354265,674527,172005,120253,80186,446337,159577,66020,8.25,49.88,58.13,4.35,21.08,1.67,ND,ND,ND,ND,ND,ND,13.37,80.37,2.42
1409,2012,Baja California,2,42462,ND,ND,14103,26,ND,ND,72.67,78.38,75.44,1651848,16.93,ND,ND,ND,ND,1628373,56565,3280221,93479,92887,155415,451024,915064,214955,152427,91976,635027,186868,84307,97023,97326,163254,467976,936205,225875,159947,94716,638115,191935,73243,190502,190213,318669,919000,1851269,440830,312374,186692,1273142,378803,157550,7.19,42.45,49.64,4.30,17.24,1.29,ND,ND,ND,ND,ND,ND,11.95,66.40,1.97
1410,2012,Baja California Sur,3,10019,ND,ND,2688,26,ND,ND,73.82,79.66,76.60,348122,16.43,ND,ND,ND,ND,333681,12707,681803,18503,18213,30545,91410,188174,43097,30765,19424,130806,38074,16436,19173,19446,32919,99204,199664,47485,34012,20018,136110,38726,15217,37676,37659,63464,190614,387838,90582,64777,39442,266916,76800,31653,6.92,42.10,49.02,3.94,18.64,1.47,ND,ND,ND,ND,ND,ND,12.67,75.53,2.15
1411,2012,Campeche,4,12626,ND,ND,4358,25,ND,ND,72.32,78.11,75.14,432259,20.13,ND,ND,ND,ND,440223,16984,872482,25185,25428,42719,124414,243848,59569,42278,25096,165510,49718,25392,25542,25758,43238,122315,233534,59535,42055,25892,156598,50619,25493,50727,51186,85957,246729,477382,119104,84333,50988,322108,100337,50885,8.95,44.43,53.38,4.99,19.47,1.45,ND,ND,ND,ND,ND,ND,16.37,76.29,2.16
1412,2012,Coahuila,5,44076,ND,ND,12456,26,ND,ND,74.12,79.83,76.93,1441060,20.03,ND,ND,ND,ND,1454050,56532,2895110,84136,82465,136731,379096,780880,181165,126899,84047,565261,168088,90276,87031,85871,142730,390153,767753,189275,132416,87336,535947,173463,80743,171167,168336,279461,769249,1548633,370440,259315,171383,1101208,341551,171019,9.14,45.64,54.78,4.30,19.53,1.52,ND,ND,ND,ND,ND,ND,12.98,81.31,2.34
1413,2012,Colima,6,9097,ND,ND,3444,26,ND,ND,73.05,79.00,75.98,342908,22.53,ND,ND,ND,ND,347255,12541,690163,18898,19201,32394,95414,191418,45827,32634,18879,135209,37463,22807,19726,19816,33305,95493,185292,46339,32850,19917,128391,39453,20529,38624,39017,65699,190907,376710,92166,65484,38796,263600,76916,43336,9.53,42.31,51.85,4.99,18.17,1.32,ND,ND,ND,ND,ND,ND,14.51,71.99,2.07
1414,2012,Chiapas,7,110368,ND,ND,26167,21,ND,ND,70.23,76.12,73.16,2518224,14.04,ND,ND,ND,ND,2611540,136535,5129764,170995,165841,274291,742038,1358779,358755,250305,182995,842147,349796,128977,173852,166434,273379,704728,1250023,345102,238157,187802,767269,356978,126325,344847,332275,547670,1446766,2608802,703857,488462,370797,1609416,706774,255302,8.35,59.50,67.85,5.10,26.62,2.15,ND,ND,ND,ND,ND,ND,17.92,89.76,3.09
1415,2012,Chihuahua,8,46331,ND,ND,16111,26,ND,ND,73.05,78.78,75.87,1754871,20.13,ND,ND,ND,ND,1775590,62442,3530461,103543,101336,168302,469084,956455,224789,157823,103447,684178,209618,110665,106693,104709,174101,478229,942252,232185,162793,106618,651141,215167,98446,210236,206045,342403,947313,1898707,456974,320616,210065,1335319,424785,209111,9.16,45.51,54.67,4.56,17.69,1.31,ND,ND,ND,ND,ND,ND,12.89,73.65,2.11
1416,2012,Ciudad de México,9,84942,ND,ND,52491,31,ND,ND,73.70,79.44,76.68,4354435,38.15,ND,ND,ND,ND,4747736,137433,9102171,206721,215580,367944,1160063,2590035,548259,395895,197685,2129655,397488,454888,211109,220620,376776,1159531,2410291,558120,401964,204447,1843119,406411,320965,417830,436200,744720,2319594,5000326,1106379,797859,402132,3972774,803899,775853,12.33,32.32,44.65,5.77,15.10,0.93,ND,ND,ND,ND,ND,ND,12.75,60.05,1.78
1417,2012,Durango,10,27688,ND,ND,9230,24,ND,ND,71.70,77.50,74.57,850638,20.86,ND,ND,ND,ND,874062,36918,1724700,52382,51625,85753,233942,456957,113323,79195,53652,316676,105275,58181,53800,53195,88318,234319,436667,115392,80269,55288,289678,107631,54012,106182,104820,174071,468261,893624,228715,159464,108940,606354,212906,112193,10.44,50.05,60.49,5.35,21.41,1.61,ND,ND,ND,ND,ND,ND,15.00,82.11,2.56
1418,2012,Guanajuato,11,88335,ND,ND,29989,24,ND,ND,71.83,77.65,74.79,2791556,19.51,ND,ND,ND,ND,2977400,118324,5768956,179385,177986,296650,828579,1602581,399454,280790,175795,1076480,354257,188624,181863,178627,295869,786387,1454623,384927,267685,181723,938967,361473,160557,361248,356613,592519,1614966,3057204,784381,548475,357518,2015447,715730,349181,9.62,49.29,58.91,5.20,20.51,1.53,ND,ND,ND,ND,ND,ND,15.55,81.10,2.29
1419,2012,Guerrero,12,60213,ND,ND,22072,23,ND,ND,70.17,76.07,73.16,1721794,20.82,ND,ND,ND,ND,1822961,82285,3544755,117762,114703,188884,493808,918104,240111,165930,115576,612427,232092,132542,119284,114811,187986,471134,837806,231882,158707,119505,537595,237265,113879,237046,229514,376870,964942,1755910,471993,324637,235081,1150022,469357,246421,11.65,55.95,67.60,6.23,23.21,1.70,ND,ND,ND,ND,ND,ND,17.89,85.56,2.79
1420,2012,Hidalgo,13,37235,ND,ND,16302,25,ND,ND,71.19,77.05,74.17,1356909,22.72,ND,ND,ND,ND,1453139,53537,2810048,83860,82006,136206,382983,773050,182608,128408,82993,552141,168299,102767,85988,83483,137639,361436,691380,176085,121929,85813,479746,172314,88616,169848,165489,273845,744419,1464430,358693,250337,168806,1031887,340613,191383,10.77,47.42,58.20,5.80,19.05,1.33,ND,ND,ND,ND,ND,ND,16.36,78.66,2.21
1421,2012,Jalisco,14,115861,ND,ND,39620,25,ND,ND,72.60,78.39,75.49,3805300,21.64,ND,ND,ND,ND,3938385,155481,7743685,225441,223212,372847,1064093,2102729,510221,360586,227491,1473564,451849,267972,230273,229385,383683,1070236,2019910,522050,367752,235180,1343830,460645,228665,455714,452597,756530,2134329,4122639,1032271,728338,462671,2817394,912494,496637,10.03,46.35,56.38,5.12,20.08,1.50,ND,ND,ND,ND,ND,ND,14.15,81.36,2.32
1422,2012,México,15,228407,ND,ND,76775,26,ND,ND,71.81,77.57,74.72,7802250,18.48,ND,ND,ND,ND,8186911,305182,15989161,455419,452659,757774,2198521,4531297,1048175,743060,456060,3245947,910628,467780,464439,462138,773127,2170591,4240411,1054927,743938,472280,2910510,930413,384569,919858,914797,1530901,4369112,8771708,2103102,1486998,928340,6156457,1841041,852349,8.10,43.81,51.91,4.80,19.09,1.43,ND,ND,ND,ND,ND,ND,14.78,76.48,2.16
1423,2012,Michoacán,16,68642,ND,ND,28554,24,ND,ND,70.85,76.75,73.83,2209158,23.69,ND,ND,ND,ND,2349287,97196,4558445,138407,138339,230984,641242,1226105,311229,218584,139213,837841,274090,176909,139057,137362,228114,607893,1117118,298874,208122,143368,739208,278162,154828,277464,275701,459098,1249135,2343223,610103,426706,282581,1577049,552252,331737,11.74,49.56,61.29,6.26,21.32,1.51,ND,ND,ND,ND,ND,ND,16.63,80.41,2.47
1424,2012,Morelos,17,21536,ND,ND,10959,26,ND,ND,71.78,77.62,74.75,904017,26.55,ND,ND,ND,ND,964720,32495,1868737,53208,53729,90112,256397,517703,123745,87362,50378,377937,103461,74885,54205,54428,91024,249113,472541,122506,85910,52455,328871,106198,62844,107413,108157,181136,505510,990244,246251,173272,102833,706808,209659,137729,11.36,42.78,54.15,5.86,17.39,1.15,ND,ND,ND,ND,ND,ND,15.69,67.94,2.02
1425,2012,Nayarit,18,15955,ND,ND,6575,25,ND,ND,71.86,77.77,74.74,572421,23.99,ND,ND,ND,ND,574032,22530,1146453,32680,32450,54236,152801,301758,73737,51951,34172,212565,66485,41844,34012,33857,56547,155829,296767,76171,53481,35615,203616,68826,39727,66692,66307,110783,308630,598525,149908,105432,69787,416181,135311,81571,11.25,46.92,58.17,5.74,19.65,1.39,ND,ND,ND,ND,ND,ND,15.40,81.18,2.35
1426,2012,Nuevo León,19,69919,ND,ND,20955,27,ND,ND,74.70,80.41,77.51,2476476,22.12,ND,ND,ND,ND,2480893,90874,4957369,133294,132392,221799,649104,1361409,308462,219055,135677,997315,268608,163108,137419,137635,231603,676955,1371371,326066,232098,140531,967631,276281,138725,270713,270027,453402,1326059,2732780,634528,451153,276208,1964946,544889,301833,9.17,41.46,50.63,4.23,18.33,1.41,ND,ND,ND,ND,ND,ND,12.01,76.52,2.17
1427,2012,Oaxaca,20,56763,ND,ND,25911,24,ND,ND,70.69,76.60,73.73,1904364,24.86,ND,ND,ND,ND,2066669,82674,3971033,126257,122934,202896,545712,1050811,262688,182726,122695,731831,249650,168739,127256,122160,199945,506423,928254,247532,169747,126193,622238,253443,142798,253513,245094,402841,1052135,1979065,510220,352473,248888,1354069,503093,311537,12.95,52.09,65.03,6.53,20.82,1.43,ND,ND,ND,ND,ND,ND,17.87,80.41,2.47
1428,2012,Puebla,21,96496,ND,ND,35362,24,ND,ND,70.63,76.48,73.64,2932162,20.20,ND,ND,ND,ND,3170546,131858,6102708,191127,188318,312910,864573,1670740,416472,291880,189832,1136275,379417,216654,193603,189122,312655,821192,1497862,403021,279488,195657,962951,386344,172838,384730,377440,625565,1685765,3168602,819493,571368,385489,2099226,765761,389492,10.29,50.94,61.23,5.79,21.61,1.58,ND,ND,ND,ND,ND,ND,16.97,80.40,2.47
1429,2012,Querétaro,22,31692,ND,ND,8831,25,ND,ND,72.72,78.45,75.61,958471,17.33,ND,ND,ND,ND,1003473,40523,1961944,57811,58199,97694,283338,559121,135741,96246,57676,376238,113998,55497,59328,59181,99033,276276,520637,134774,94922,60274,336740,118237,46314,117139,117380,196727,559614,1079758,270515,191168,117950,712978,232235,101811,8.00,46.17,54.17,4.50,20.65,1.62,ND,ND,ND,ND,ND,ND,14.73,80.67,2.26
1430,2012,Quintana Roo,23,23283,ND,ND,5096,25,ND,ND,72.92,78.60,75.62,722674,11.49,ND,ND,ND,ND,702684,28379,1425358,39365,40112,68234,211965,416130,100815,72693,42053,263689,80358,23533,40641,41757,71228,220049,426930,105792,76321,43330,269085,82359,23936,80006,81869,139462,432014,843060,206607,149014,85383,532774,162717,47469,4.92,42.82,47.74,3.58,19.91,1.63,ND,ND,ND,ND,ND,ND,14.55,72.76,2.09
1431,2012,San Luis Potosí,24,36885,ND,ND,15803,25,ND,ND,71.79,77.66,74.73,1320056,24.11,ND,ND,ND,ND,1383341,52688,2703397,84526,82671,136611,369114,722029,177658,123718,79656,503055,165159,103774,86117,84189,138789,359257,667431,176332,121732,82018,448621,168226,95012,170643,166860,275400,728371,1389460,353990,245450,161674,951676,333385,198786,11.83,49.08,60.91,5.85,19.49,1.36,ND,ND,ND,ND,ND,ND,15.98,81.18,2.30
1432,2012,Sinaloa,25,38410,ND,ND,15263,26,ND,ND,72.61,78.38,75.44,1448833,23.93,ND,ND,ND,ND,1463797,53673,2912630,84619,84256,140319,387335,777495,187166,131103,80591,563045,165163,103585,87174,87550,146140,396245,764000,194665,136075,84367,532512,169931,95957,171793,171806,286459,783580,1541495,381831,267178,164958,1095557,335094,199542,10.62,44.38,55.00,5.24,18.43,1.32,ND,ND,ND,ND,ND,ND,14.49,78.66,2.21
1433,2012,Sonora,26,37122,ND,ND,12868,26,ND,ND,73.43,79.14,76.21,1399994,21.21,ND,ND,ND,ND,1391142,49990,2791136,79975,78471,130476,366219,744412,175196,123191,79299,540413,160836,89346,83247,82353,137142,379772,750297,183858,129069,81955,530467,165509,81152,163222,160824,267618,745991,1494709,359054,252260,161254,1070880,326345,170498,9.38,44.24,53.62,4.61,17.91,1.33,ND,ND,ND,ND,ND,ND,13.72,75.94,2.15
1434,2012,Tabasco,27,35758,ND,ND,11936,25,ND,ND,71.22,77.05,74.10,1157612,17.86,ND,ND,ND,ND,1194114,47694,2351726,68983,68624,114952,333618,660376,159213,112885,70805,446837,139121,64764,69907,69069,115392,323333,617182,157038,110715,73876,413316,142735,61734,138890,137693,230344,656951,1277558,316251,223600,144681,860153,281856,126498,8.34,46.68,55.01,5.08,20.28,1.52,ND,ND,ND,ND,ND,ND,16.69,80.53,2.25
1435,2012,Tamaulipas,28,43840,ND,ND,16827,27,ND,ND,72.93,78.69,75.79,1684305,22.46,ND,ND,ND,ND,1718536,60667,3402841,94464,92478,154164,444514,929815,210828,149142,96922,681109,193351,117014,98116,96600,161081,451806,905856,218027,153546,100172,640320,199006,100324,192580,189078,315245,896320,1835671,428855,302688,197094,1321429,392357,217338,9.80,43.64,53.44,4.94,17.83,1.29,ND,ND,ND,ND,ND,ND,13.93,74.30,2.12
1436,2012,Tlaxcala,29,18667,ND,ND,6925,24,ND,ND,71.01,76.86,73.98,603607,19.42,ND,ND,ND,ND,640205,25592,1243812,37718,37061,61687,174886,346942,83454,58828,37591,237288,75445,39700,38632,37907,62921,169447,315725,82827,57813,39072,205418,77434,34572,76350,74968,124608,344333,662667,166281,116641,76663,442706,152879,74272,9.44,48.60,58.04,5.57,20.58,1.50,ND,ND,ND,ND,ND,ND,15.86,81.38,2.32
1437,2012,Veracruz,30,93601,ND,ND,49981,26,ND,ND,71.07,76.94,74.05,3883256,26.96,ND,ND,ND,ND,4127792,143582,8011048,230978,229851,382897,1072032,2182957,514627,361581,218272,1616362,449279,327770,237956,235475,390436,1037898,1989664,508563,353602,226625,1414814,463202,281692,468934,465326,773333,2109930,4172621,1023190,715183,444897,3031176,912481,609462,11.85,43.97,55.82,6.24,17.92,1.17,ND,ND,ND,ND,ND,ND,16.69,74.41,2.12
