"территория","год","чн","чр","чс","мигр","р","с","еп","чн2","р2","с2","еп2","стаб","vr.ok"
"Забайкальская обл.","1910","826788","34475","22352","1050","41.70","27.03","14.66","833357","41.37","26.82","14.55","*","1"
"Забайкальская обл.","1911","839961","36827","20896","1745","43.84","24.88","18.97","848768","43.39","24.62","18.77","*","1"
"Забайкальская обл.","1912","857637","34993","21678","3331","40.80","25.28","15.53","865933","40.41","25.03","15.38","*","1"
"Забайкальская обл.","1913","874283","35521","21658","3220","40.63","24.77","15.86","882797","40.24","24.53","15.70","*","1"
"Забайкальская обл.","1914","891366","37563","23362","1924","42.14","26.21","15.93","898397","41.81","26.00","15.81","","1"
"Забайкальская обл.","1915","905465","","","-15","","","","","","","","","0"
"Закаспийская обл.","1896","375955","15514","9419","-4","41.27","25.05","16.21","378984","40.94","24.85","16.08","","1"
"Закаспийская обл.","1897","382029","15765","9571","8","41.27","25.05","16.21","385107","40.94","24.85","16.08","","1"
"Закаспийская обл.","1898","388201","16020","9726","11","41.27","25.05","16.21","391328","40.94","24.85","16.08","","1"
"Закаспийская обл.","1899","394472","16279","9883","7","41.27","25.05","16.21","397650","40.94","24.85","16.08","","1"
"Закаспийская обл.","1900","400845","16542","10042","0","41.27","25.05","16.22","404074","40.94","24.85","16.09","","1"
"Закаспийская обл.","1901","407321","16809","10205","0","41.27","25.05","16.21","410602","40.94","24.85","16.08","","1"
"Закаспийская обл.","1902","413901","17080","10369","-3","41.27","25.05","16.21","417236","40.94","24.85","16.08","","1"
"Закаспийская обл.","1903","420588","17356","10537","-5","41.27","25.05","16.21","423976","40.94","24.85","16.08","","1"
"Закаспийская обл.","1904","427383","17637","10707","-11","41.27","25.05","16.21","430826","40.94","24.85","16.09","","1"
"Закаспийская обл.","1905","434287","17922","10880","-19","41.27","25.05","16.22","437786","40.94","24.85","16.09","","1"
"Закаспийская обл.","1906","441303","18211","11056","-15","41.27","25.05","16.21","444858","40.94","24.85","16.08","","1"
"Закаспийская обл.","1907","448432","18505","11234","-9","41.27","25.05","16.21","452044","40.94","24.85","16.08","","1"
"Закаспийская обл.","1908","455676","18804","11416","4","41.27","25.05","16.21","459347","40.94","24.85","16.08","","1"
"Закаспийская обл.","1909","463037","19108","11600","3","41.27","25.05","16.21","466767","40.94","24.85","16.09","","1"
"Закаспийская обл.","1910","470517","19417","11788","-3","41.27","25.05","16.21","474307","40.94","24.85","16.08","","1"
"Закаспийская обл.","1911","478118","21468","11273","-2","44.90","23.58","21.32","483197","44.43","23.33","21.10","*","1"
"Закаспийская обл.","1912","488311","18454","11387","-1","37.79","23.32","14.47","491836","37.52","23.15","14.37","*","1"
"Закаспийская обл.","1913","495377","20364","14000","-3","41.11","28.26","12.85","498551","40.85","28.08","12.76","*","1"
"Закаспийская обл.","1914","501738","20705","12570","-13","41.27","25.05","16.21","505780","40.94","24.85","16.08","","1"
"Закаспийская обл.","1915","509844","","","-4","","","","","","","","","0"
"Иркутская","1896","509659","23108","18938","122","45.34","37.16","8.18","511802","45.15","37.00","8.15","","1"
"Иркутская","1897","513951","22800","18673","142","44.36","36.33","8.03","516083","44.18","36.18","8.00","","1"
"Иркутская","1898","518220","22974","18996","3267","44.33","36.66","7.68","521834","44.03","36.40","7.62","","1"
"Иркутская","1899","525465","23681","19590","4204","45.07","37.28","7.79","529602","44.71","36.99","7.72","","1"
"Иркутская","1900","533760","23807","18307","4512","44.60","34.30","10.30","538750","44.19","33.98","10.21","","1"
"Иркутская","1901","543772","24669","17217","8279","45.37","31.66","13.70","551600","44.72","31.21","13.51","","1"
"Иркутская","1902","559503","27230","19531","6881","48.67","34.91","13.76","566762","48.04","34.46","13.58","","1"
"Иркутская","1903","574083","27230","19531","2961","47.43","34.02","13.41","579397","47.00","33.71","13.29","","1"
"Иркутская","1904","584743","24336","20689","164","41.62","35.38","6.24","586677","41.48","35.26","6.22","","1"
"Иркутская","1905","588615","25724","21902","227","43.70","37.21","6.49","590637","43.55","37.08","6.47","","1"
"Иркутская","1906","592664","27825","21559","6579","46.95","36.38","10.57","599064","46.45","35.99","10.46","","1"
"Иркутская","1907","605509","29926","21280","12232","49.42","35.14","14.28","615889","48.59","34.55","14.04","","1"
"Иркутская","1908","626387","30345","22065","15648","48.44","35.23","13.22","638276","47.54","34.57","12.97","","1"
"Иркутская","1909","650315","28064","20607","14342","43.15","31.69","11.47","661155","42.45","31.17","11.28","","1"
"Иркутская","1910","672114","28594","20629","8108","42.54","30.69","11.85","680119","42.04","30.33","11.71","","1"
"Иркутская","1911","688187","34395","21048","8237","49.98","30.58","19.39","698923","49.21","30.11","19.10","","1"
"Иркутская","1912","709771","27029","17480","13082","38.08","24.63","13.45","721027","37.49","24.24","13.24","","1"
"Иркутская","1913","732402","31020","19849","9812","42.35","27.10","15.25","742845","41.76","26.72","15.04","","1"
"Иркутская","1914","753386","35795","21819","7089","47.51","28.96","18.55","763872","46.86","28.56","18.30","","1"
"Иркутская","1915","774455","","","491","","","","","","","","","0"
"Казанская","1896","2128636","112958","73674","-301","53.07","34.61","18.46","2148069","52.59","34.30","18.29","","1"
"Казанская","1897","2167619","111790","70608","1","51.57","32.57","19.00","2188146","51.09","32.27","18.82","","1"
"Казанская","1898","2208802","110054","82580","-1969","49.83","37.39","12.44","2221530","49.54","37.17","12.37","","1"
"Казанская","1899","2234307","97466","77421","-1996","43.62","34.65","8.97","2243319","43.45","34.51","8.94","","1"
"Казанская","1900","2252356","117801","72777","13","52.30","32.31","19.99","2274800","51.79","31.99","19.79","","1"
"Казанская","1901","2297393","121543","76711","-141","52.90","33.39","19.51","2319667","52.40","33.07","19.33","","1"
"Казанская","1902","2342084","123148","84100","-69","52.58","35.91","16.67","2361595","52.15","35.61","16.53","","1"
"Казанская","1903","2381215","110761","70662","-417","46.51","29.67","16.84","2401001","46.13","29.43","16.70","","1"
"Казанская","1904","2420897","115843","80870","-74","47.85","33.40","14.45","2438305","47.51","33.17","14.34","","1"
"Казанская","1905","2455796","109926","72139","-46","44.76","29.37","15.39","2474619","44.42","29.15","15.27","","1"
"Казанская","1906","2493537","120211","79230","-1193","48.21","31.77","16.43","2513379","47.83","31.52","16.31","","1"
"Казанская","1907","2533325","112688","78157","-1552","44.48","30.85","13.63","2549779","44.20","30.65","13.54","","1"
"Казанская","1908","2566304","112731","71346","-4468","43.93","27.80","16.13","2584719","43.61","27.60","16.01","","1"
"Казанская","1909","2603221","116810","82054","-5533","44.87","31.52","13.35","2617805","44.62","31.34","13.28","","1"
"Казанская","1910","2632444","125388","88399","-1647","47.63","33.58","14.05","2650076","47.31","33.36","13.96","","1"
"Казанская","1911","2667786","122761","83145","-4625","46.02","31.17","14.85","2685244","45.72","30.96","14.75","","1"
"Казанская","1912","2702777","117355","79420","-8860","43.42","29.38","14.04","2717289","43.19","29.23","13.96","","1"
"Казанская","1913","2731852","118249","88177","-5713","43.29","32.28","11.01","2744013","43.09","32.13","10.96","","1"
"Казанская","1914","2756211","131364","86706","-3535","47.66","31.46","16.20","2776722","47.31","31.23","16.08","","1"
"Казанская","1915","2797334","","","-753","","","","","","","","","0"
"Калишская","1896","823184","36290","20058","36","44.08","24.37","19.72","831291","43.65","24.13","19.53","","1"
"Калишская","1897","839452","34167","19173","487","40.70","22.84","17.86","847169","40.33","22.63","17.70","","1"
"Калишская","1898","854933","35375","19561","-328","41.38","22.88","18.50","862653","41.01","22.68","18.33","","1"
"Калишская","1899","870419","36814","20995","-112","42.29","24.12","18.17","878249","41.92","23.91","18.01","","1"
"Калишская","1900","886126","39755","21458","-1076","44.86","24.22","20.65","894709","44.43","23.98","20.45","","1"
"Калишская","1901","903347","38943","23565","-1161","43.11","26.09","17.02","910437","42.77","25.88","16.89","","1"
"Калишская","1902","917564","41479","21826","-3064","45.21","23.79","21.42","925834","44.80","23.57","21.23","","1"
"Калишская","1903","934153","44450","22529","-2977","47.58","24.12","23.47","943593","47.11","23.88","23.23","","1"
"Калишская","1904","953097","43132","23570","-4227","45.25","24.73","20.52","960744","44.89","24.53","20.36","","1"
"Калишская","1905","968432","43431","27236","-5124","44.85","28.12","16.72","973957","44.59","27.96","16.63","","1"
"Калишская","1906","979503","45563","25974","-5847","46.52","26.52","20.00","986358","46.19","26.33","19.86","","1"
"Калишская","1907","993245","45614","27262","-5097","45.92","27.45","18.48","999858","45.62","27.27","18.35","","1"
"Калишская","1908","1006500","43916","25039","-2654","43.63","24.88","18.76","1014590","43.28","24.68","18.61","","1"
"Калишская","1909","1022723","48278","25727","-4368","47.21","25.16","22.05","1031788","46.79","24.93","21.86","","1"
"Калишская","1910","1040906","48446","25597","-8074","46.54","24.59","21.95","1048276","46.21","24.42","21.80","","1"
"Калишская","1911","1055681","47321","26483","-4073","44.83","25.09","19.74","1064041","44.47","24.89","19.58","","1"
"Калишская","1912","1072446","46163","24856","-8230","43.04","23.18","19.87","1078971","42.78","23.04","19.75","","1"
"Калишская","1913","1085523","46163","24855","-9607","42.53","22.90","19.63","1091363","42.30","22.77","19.52","","1"
"Калишская","1914","1097224","","","-3907","","","","","","","","","0"
"Калужская","1896","1117252","64175","48203","-1004","57.44","43.14","14.30","1124719","57.06","42.86","14.20","","1"
"Калужская","1897","1132220","61346","51779","-1140","54.18","45.73","8.45","1136428","53.98","45.56","8.42","","1"
"Калужская","1898","1140647","61596","45873","-1378","54.00","40.22","13.78","1147805","53.66","39.97","13.70","","1"
"Калужская","1899","1154992","65388","42082","-536","56.61","36.43","20.18","1166340","56.06","36.08","19.98","","1"
"Калужская","1900","1177762","66564","49676","-312","56.52","42.18","14.34","1186031","56.12","41.88","14.24","","1"
"Калужская","1901","1194338","68320","57325","-124","57.20","48.00","9.21","1199765","56.94","47.78","9.16","","1"
"Калужская","1902","1205209","74926","45464","-23","62.17","37.72","24.45","1219869","61.42","37.27","24.15","","1"
"Калужская","1903","1234648","66687","52279","-156","54.01","42.34","11.67","1241760","53.70","42.10","11.60","","1"
"Калужская","1904","1248900","75225","50982","-106","60.23","40.82","19.41","1260930","59.66","40.43","19.23","","1"
"Калужская","1905","1273037","66287","57342","-121","52.07","45.04","7.03","1277444","51.89","44.89","7.00","","1"
"Калужская","1906","1281861","71747","49134","-714","55.97","38.33","17.64","1292780","55.50","38.01","17.49","","1"
"Калужская","1907","1303760","68475","44555","-9647","52.52","34.17","18.35","1310884","52.24","33.99","18.25","","1"
"Калужская","1908","1318033","63919","49019","-6498","48.50","37.19","11.30","1322230","48.34","37.07","11.27","","1"
"Калужская","1909","1326435","61731","46693","-3165","46.54","35.20","11.34","1332363","46.33","35.05","11.29","","1"
"Калужская","1910","1338308","61546","48366","-851","45.99","36.14","9.85","1344463","45.78","35.97","9.80","","1"
"Калужская","1911","1350637","68548","39835","-128","50.75","29.49","21.26","1364880","50.22","29.19","21.04","","1"
"Калужская","1912","1379222","69323","44037","-181","50.26","31.93","18.33","1391737","49.81","31.64","18.17","","1"
"Калужская","1913","1404327","68060","45872","-158","48.46","32.66","15.80","1415313","48.09","32.41","15.68","","1"
"Калужская","1914","1426357","69162","49741","-237","48.49","34.87","13.62","1435928","48.17","34.64","13.53","","1"
"Калужская","1915","1445541","","","-92","","","","","","","","","0"
"Карсская обл.","1896","284922","11138","5759","-3","39.09","20.21","18.88","287579","38.73","20.03","18.70","","1"
"Карсская обл.","1897","290252","11346","5867","0","39.09","20.21","18.88","292959","38.73","20.03","18.70","","1"
"Карсская обл.","1898","295682","11558","5977","-2","39.09","20.21","18.88","298439","38.73","20.03","18.70","","1"
"Карсская обл.","1899","301214","11774","6089","-6","39.09","20.21","18.87","304023","38.73","20.03","18.70","","1"
"Карсская обл.","1900","306849","11995","6202","-8","39.09","20.21","18.88","309710","38.73","20.03","18.70","","1"
"Карсская обл.","1901","312589","12219","6318","-6","39.09","20.21","18.88","315504","38.73","20.03","18.70","","1"
"Карсская обл.","1902","318437","12448","6437","-9","39.09","20.21","18.88","321406","38.73","20.03","18.70","","1"
"Карсская обл.","1903","324394","12680","6557","-32","39.09","20.21","18.88","327419","38.73","20.03","18.70","","1"
"Карсская обл.","1904","330463","12918","6690","-81","39.09","20.24","18.85","333539","38.73","20.06","18.67","","1"
"Карсская обл.","1905","336635","13159","6815","-46","39.09","20.24","18.85","339769","38.73","20.06","18.67","","1"
"Карсская обл.","1906","342923","13406","6932","-115","39.09","20.21","18.88","346121","38.73","20.03","18.70","","1"
"Карсская обл.","1907","349339","13694","6545","-360","39.20","18.74","20.46","352723","38.82","18.56","20.27","*","1"
"Карсская обл.","1908","356128","12313","6841","-175","34.57","19.21","15.37","358770","34.32","19.07","15.25","*","1"
"Карсская обл.","1909","361425","13859","8886","-35","38.35","24.59","13.76","363888","38.09","24.42","13.67","*","1"
"Карсская обл.","1910","366363","16043","9129","-97","43.79","24.92","18.87","369761","43.39","24.69","18.70","*","1"
"Карсская обл.","1911","373180","13628","6300","-62","36.52","16.88","19.64","376801","36.17","16.72","19.45","*","1"
"Карсская обл.","1912","380446","15615","7147","-175","41.04","18.79","22.26","384578","40.60","18.58","22.02","*","1"
"Карсская обл.","1913","388739","15616","7147","-273","40.17","18.39","21.79","392823","39.75","18.19","21.56","*","1"
"Карсская обл.","1914","396935","15517","8096","-113","39.09","20.40","18.70","400601","38.73","20.21","18.52","","1"
"Карсская обл.","1915","404289","","","68","","","","","","","","","0"
"Келецкая","1896","748013","32817","19701","-125","43.87","26.34","17.53","754490","43.50","26.11","17.38","","1"
"Келецкая","1897","761004","32708","19482","168","42.98","25.60","17.38","767682","42.61","25.38","17.23","","1"
"Келецкая","1898","774398","31119","18303","196","40.18","23.64","16.55","780886","39.85","23.44","16.41","","1"
"Келецкая","1899","787410","32563","20175","-141","41.35","25.62","15.73","793518","41.04","25.42","15.61","","1"
"Келецкая","1900","799657","32587","19320","-211","40.75","24.16","16.59","806167","40.42","23.97","16.46","","1"
"Келецкая","1901","812713","34015","22084","-128","41.85","27.17","14.68","818600","41.55","26.98","14.57","","1"
"Келецкая","1902","824516","36749","18000","-296","44.57","21.83","22.74","833709","44.08","21.59","22.49","","1"
"Келецкая","1903","842970","34809","17776","-741","41.29","21.09","20.21","851090","40.90","20.89","20.01","","1"
"Келецкая","1904","859262","33451","20789","-1048","38.93","24.19","14.74","865056","38.67","24.03","14.64","","1"
"Келецкая","1905","870876","30940","21323","-2683","35.53","24.48","11.04","874338","35.39","24.39","11.00","","1"
"Келецкая","1906","877810","32949","18415","-5568","37.54","20.98","16.56","882285","37.35","20.87","16.47","","1"
"Келецкая","1907","886776","34819","17665","-1374","39.26","19.92","19.34","894643","38.92","19.75","19.17","","1"
"Келецкая","1908","902556","33642","17984","-635","37.27","19.93","17.35","910047","36.97","19.76","17.21","","1"
"Келецкая","1909","917579","34055","20299","-749","37.11","22.12","14.99","924112","36.85","21.97","14.89","","1"
"Келецкая","1910","930675","33835","18577","-1284","36.36","19.96","16.39","937695","36.08","19.81","16.27","","1"
"Келецкая","1911","944750","34064","18954","-693","36.06","20.06","15.99","951941","35.78","19.91","15.87","","1"
"Келецкая","1912","959168","34478","18154","-1360","35.95","18.93","17.02","966631","35.67","18.78","16.89","","1"
"Келецкая","1913","974132","34478","18154","-1564","35.39","18.64","16.76","981494","35.13","18.50","16.63","","1"
"Келецкая","1914","988892","","","-798","","","","","","","","","0"
"Киевская","1896","3488939","175606","108461","-2622","50.33","31.09","19.25","3521102","49.87","30.80","19.07","","1"
"Киевская","1897","3553462","182078","103247","-867","51.24","29.06","22.18","3592303","50.69","28.74","21.94","","1"
"Киевская","1898","3631426","173657","99380","-3808","47.82","27.37","20.45","3666548","47.36","27.10","20.26","","1"
"Киевская","1899","3701895","176453","108806","-4927","47.67","29.39","18.27","3733167","47.27","29.15","18.12","","1"
"Киевская","1900","3764615","179553","103937","-5647","47.69","27.61","20.09","3799492","47.26","27.36","19.90","","1"
"Киевская","1901","3834584","166842","103114","-4650","43.51","26.89","16.62","3864048","43.18","26.69","16.49","","1"
"Киевская","1902","3893662","183358","103198","-6149","47.09","26.50","20.59","3930602","46.65","26.26","20.39","","1"
"Киевская","1903","3967774","173997","98815","-7821","43.85","24.90","18.95","4001360","43.48","24.70","18.79","","1"
"Киевская","1904","4035135","181719","107798","-9796","45.03","26.71","18.32","4067114","44.68","26.50","18.18","","1"
"Киевская","1905","4099261","171484","114211","-14030","41.83","27.86","13.97","4120929","41.61","27.71","13.90","","1"
"Киевская","1906","4142673","179607","110479","-23863","43.36","26.67","16.69","4165355","43.12","26.52","16.60","","1"
"Киевская","1907","4188119","188525","108872","-44617","45.01","26.00","19.02","4205613","44.83","25.89","18.94","","1"
"Киевская","1908","4223155","183598","110461","-47834","43.47","26.16","17.32","4235985","43.34","26.08","17.27","","1"
"Киевская","1909","4248841","177648","123617","-36732","41.81","29.09","12.72","4257485","41.73","29.04","12.69","","1"
"Киевская","1910","4266140","177917","139254","-21896","41.70","32.64","9.06","4274519","41.62","32.58","9.04","","1"
"Киевская","1911","4282908","186608","106387","-9198","43.57","24.84","18.73","4318322","43.21","24.64","18.58","","1"
"Киевская","1912","4353931","185361","93770","-11471","42.57","21.54","21.04","4393870","42.19","21.34","20.85","","1"
"Киевская","1913","4434052","178263","106209","-16383","40.20","23.95","16.25","4461830","39.95","23.80","16.15","","1"
"Киевская","1914","4489723","186428","116133","-11413","41.52","25.87","15.66","4519100","41.25","25.70","15.56","","1"
"Киевская","1915","4548605","","","-599","","","","","","","","","0"
"Ковенская","1896","1521049","57001","33457","-1400","37.47","22.00","15.48","1532094","37.20","21.84","15.37","","1"
"Ковенская","1897","1543193","55871","36498","-842","36.20","23.65","12.55","1552440","35.99","23.51","12.48","","1"
"Ковенская","1898","1561724","55779","36427","-1734","35.72","23.32","12.39","1570517","35.52","23.19","12.32","","1"
"Ковенская","1899","1579342","56945","37207","-2694","36.06","23.56","12.50","1587849","35.86","23.43","12.43","","1"
"Ковенская","1900","1596386","57213","38921","-3561","35.84","24.38","11.46","1603740","35.67","24.27","11.41","","1"
"Ковенская","1901","1611117","54214","44132","-3126","33.65","27.39","6.26","1614593","33.58","27.33","6.24","","1"
"Ковенская","1902","1618073","58870","37648","-4768","36.38","23.27","13.12","1626286","36.20","23.15","13.05","","1"
"Ковенская","1903","1634527","53487","35651","-5867","32.72","21.81","10.91","1640604","32.60","21.73","10.87","","1"
"Ковенская","1904","1646696","56419","35423","-7598","34.26","21.51","12.75","1653386","34.12","21.42","12.70","","1"
"Ковенская","1905","1660094","51924","42168","-8743","31.28","25.40","5.88","1660625","31.27","25.39","5.87","","1"
"Ковенская","1906","1661156","53359","36786","-9859","32.12","22.14","9.98","1664601","32.06","22.10","9.96","","1"
"Ковенская","1907","1668050","52014","34484","-9338","31.18","20.67","10.51","1672223","31.10","20.62","10.48","","1"
"Ковенская","1908","1676403","51709","34470","-6348","30.85","20.56","10.28","1681843","30.75","20.50","10.25","","1"
"Ковенская","1909","1687294","51927","34444","-7060","30.78","20.41","10.36","1692500","30.68","20.35","10.33","","1"
"Ковенская","1910","1697717","50078","37741","-9666","29.50","22.23","7.27","1699066","29.47","22.21","7.26","","1"
"Ковенская","1911","1700415","48825","34373","-6142","28.71","20.21","8.50","1704567","28.64","20.17","8.48","","1"
"Ковенская","1912","1708726","50943","30946","-7392","29.81","18.11","11.70","1715021","29.70","18.04","11.66","","1"
"Ковенская","1913","1721332","49224","32872","-9563","28.60","19.10","9.50","1724752","28.54","19.06","9.48","","1"
"Ковенская","1914","1728177","","","-5552","","","","1724708","","","","","0"
"Ковенская","1915","1721244","","","-899","","","","","","","","","0"
"Костромская","1896","1365619","68437","48589","-110","50.11","35.58","14.53","1375464","49.76","35.33","14.43","","1"
"Костромская","1897","1385357","68513","46061","-45","49.46","33.25","16.21","1396531","49.06","32.98","16.08","","1"
"Костромская","1898","1407764","69770","54595","-416","49.56","38.78","10.78","1415131","49.30","38.58","10.72","","1"
"Костромская","1899","1422523","74774","40781","-455","52.56","28.67","23.90","1439227","51.95","28.34","23.62","","1"
"Костромская","1900","1456061","68626","53900","-134","47.13","37.02","10.11","1463345","46.90","36.83","10.06","","1"
"Костромская","1901","1470653","67262","60129","-683","45.74","40.89","4.85","1473876","45.64","40.80","4.84","","1"
"Костромская","1902","1477103","75448","48874","-216","51.08","33.09","17.99","1490243","50.63","32.80","17.83","","1"
"Костромская","1903","1503461","73576","50238","-271","48.94","33.41","15.52","1514965","48.57","33.16","15.40","","1"
"Костромская","1904","1526528","78200","44732","-123","51.23","29.30","21.92","1543140","50.68","28.99","21.69","","1"
"Костромская","1905","1559873","68874","55792","-122","44.15","35.77","8.39","1566344","43.97","35.62","8.35","","1"
"Костромская","1906","1572833","75544","57307","-3092","48.03","36.44","11.60","1580393","47.80","36.26","11.54","","1"
"Костромская","1907","1587978","78649","45094","-3958","49.53","28.40","21.13","1602731","49.07","28.14","20.94","","1"
"Костромская","1908","1617575","70923","48998","-4481","43.85","30.29","13.55","1626281","43.61","30.13","13.48","","1"
"Костромская","1909","1635019","75140","53472","-655","45.96","32.70","13.25","1645503","45.66","32.50","13.17","","1"
"Костромская","1910","1656032","78271","57249","-24","47.26","34.57","12.69","1666509","46.97","34.35","12.61","","1"
"Костромская","1911","1677030","80007","48238","-299","47.71","28.76","18.94","1692716","47.27","28.50","18.77","","1"
"Костромская","1912","1708500","78006","53037","-909","45.66","31.04","14.61","1720502","45.34","30.83","14.51","","1"
"Костромская","1913","1732560","80432","54762","-965","46.42","31.61","14.82","1744883","46.10","31.38","14.71","","1"
"Костромская","1914","1757265","84161","53254","-358","47.89","30.31","17.59","1772496","47.48","30.04","17.44","","1"
"Костромская","1915","1787814","","","-61","","","","","","","","","0"
"Кубанская обл.","1896","1855970","117322","57201","56","63.21","30.82","32.39","1885898","62.21","30.33","31.88","","1"
"Кубанская обл.","1897","1916147","107670","70834","119","56.19","36.97","19.22","1934566","55.66","36.61","19.04","","1"
"Кубанская обл.","1898","1953102","104127","63261","130","53.31","32.39","20.92","1973529","52.76","32.05","20.71","","1"
"Кубанская обл.","1899","1994098","105869","63240","177","53.09","31.71","21.38","2015425","52.53","31.38","21.15","","1"
"Кубанская обл.","1900","2036904","109536","60707","62","53.78","29.80","23.97","2061253","53.14","29.45","23.69","","1"
"Кубанская обл.","1901","2085795","107767","60224","446","51.67","28.87","22.79","2109699","51.08","28.55","22.54","","1"
"Кубанская обл.","1902","2133784","120969","67220","274","56.69","31.50","25.19","2160683","55.99","31.11","24.88","","1"
"Кубанская обл.","1903","2187808","126452","69271","-62","57.80","31.66","26.14","2216277","57.06","31.26","25.80","","1"
"Кубанская обл.","1904","2244992","127687","67399","7","56.88","30.02","26.85","2275006","56.13","29.63","26.50","","1"
"Кубанская обл.","1905","2305287","126750","74826","-256","54.98","32.46","22.52","2331026","54.38","32.10","22.28","","1"
"Кубанская обл.","1906","2356956","127875","62742","-1226","54.25","26.62","27.63","2388767","53.53","26.27","27.27","","1"
"Кубанская обл.","1907","2420863","136691","71125","-1116","56.46","29.38","27.08","2452947","55.73","29.00","26.73","","1"
"Кубанская обл.","1908","2485313","139595","88912","-2053","56.17","35.77","20.39","2509549","55.63","35.43","20.20","","1"
"Кубанская обл.","1909","2533943","139069","87404","-4419","54.88","34.49","20.39","2557493","54.38","34.18","20.20","","1"
"Кубанская обл.","1910","2581189","147759","107519","-1550","57.24","41.65","15.59","2600486","56.82","41.35","15.47","","1"
"Кубанская обл.","1911","2619879","151701","83373","-813","57.90","31.82","26.08","2653493","57.17","31.42","25.75","","1"
"Кубанская обл.","1912","2687394","154623","79821","-3080","57.54","29.70","27.83","2723098","56.78","29.31","27.47","","1"
"Кубанская обл.","1913","2759116","153757","81194","-3003","55.73","29.43","26.30","2793752","55.04","29.06","25.97","","1"
"Кубанская обл.","1914","2828677","154104","87337","-2744","54.48","30.88","23.60","2860569","53.87","30.53","23.34","","1"
"Кубанская обл.","1915","2892700","","","614","","","","","","","","","0"
"Курляндская","1896","667810","19478","13496","-184","29.17","20.21","8.96","670705","29.04","20.12","8.92","","1"
"Курляндская","1897","673608","19492","13532","-202","28.94","20.09","8.85","676483","28.81","20.00","8.81","","1"
"Курляндская","1898","679366","19514","13255","63","28.72","19.51","9.21","682522","28.59","19.42","9.17","","1"
"Курляндская","1899","685688","19947","12339","347","29.09","18.00","11.10","689658","28.92","17.89","11.03","","1"
"Курляндская","1900","693643","19272","13185","-5","27.78","19.01","8.78","696680","27.66","18.93","8.74","","1"
"Курляндская","1901","699725","19671","13966","250","28.11","19.96","8.15","702698","27.99","19.87","8.12","","1"
"Курляндская","1902","705680","19668","13365","-285","27.87","18.94","8.93","708685","27.75","18.86","8.89","","1"
"Курляндская","1903","711699","19803","12521","-440","27.82","17.59","10.23","715115","27.69","17.51","10.18","","1"
"Курляндская","1904","718541","19283","13988","-824","26.84","19.47","7.37","720774","26.75","19.41","7.35","","1"
"Курляндская","1905","723012","20232","14128","-1040","27.98","19.54","8.44","725541","27.89","19.47","8.41","","1"
"Курляндская","1906","728076","19116","12873","-1005","26.26","17.68","8.57","730692","26.16","17.62","8.54","","1"
"Курляндская","1907","733314","17009","11641","-1505","23.19","15.87","7.32","735244","23.13","15.83","7.30","","1"
"Курляндская","1908","737177","15680","11558","-582","21.27","15.68","5.59","738946","21.22","15.64","5.58","","1"
"Курляндская","1909","740717","16002","12429","-360","21.60","16.78","4.82","742322","21.56","16.74","4.81","","1"
"Курляндская","1910","743930","20612","13375","-1787","27.71","17.98","9.73","746652","27.61","17.91","9.69","","1"
"Курляндская","1911","749380","20627","13019","-611","27.53","17.37","10.15","752873","27.40","17.29","10.11","","1"
"Курляндская","1912","756377","19066","12588","-541","25.21","16.64","8.56","759473","25.10","16.57","8.53","","1"
"Курляндская","1913","762577","19517","14015","-899","25.59","18.38","7.22","764876","25.52","18.32","7.19","","1"
"Курляндская","1914","767180","","","-805","","","","766199","","","","","0"
"Курляндская","1915","765218","","","-311","","","","","","","","","0"
"Курская","1896","2338328","125529","83727","-12123","53.68","35.81","17.88","2353136","53.35","35.58","17.76","","1"
"Курская","1897","2368007","127971","84778","-2566","54.04","35.80","18.24","2388263","53.58","35.50","18.09","","1"
"Курская","1898","2408634","119428","86842","-8966","49.58","36.05","13.53","2420425","49.34","35.88","13.46","","1"
"Курская","1899","2432254","127919","85420","-13589","52.59","35.12","17.47","2446681","52.28","34.91","17.37","","1"
"Курская","1900","2461164","131457","84030","-14680","53.41","34.14","19.27","2477501","53.06","33.92","19.14","","1"
"Курская","1901","2493911","126357","82214","-3708","50.67","32.97","17.70","2514074","50.26","32.70","17.56","","1"
"Курская","1902","2534346","135060","80775","-1393","53.29","31.87","21.42","2560701","52.74","31.54","21.20","","1"
"Курская","1903","2587238","137950","82968","-1804","53.32","32.07","21.25","2613737","52.78","31.74","21.04","","1"
"Курская","1904","2640416","140667","79654","-498","53.27","30.17","23.11","2670559","52.67","29.83","22.85","","1"
"Курская","1905","2700931","136804","86944","-653","50.65","32.19","18.46","2725460","50.19","31.90","18.29","","1"
"Курская","1906","2750138","131413","89864","-2690","47.78","32.68","15.11","2769522","47.45","32.45","15.00","","1"
"Курская","1907","2788997","135884","82042","-15852","48.72","29.42","19.31","2807949","48.39","29.22","19.17","","1"
"Курская","1908","2826987","130167","82418","-48555","46.04","29.15","16.89","2826584","46.05","29.16","16.89","","1"
"Курская","1909","2826181","132943","83835","-62238","47.04","29.66","17.38","2819611","47.15","29.73","17.42","","1"
"Курская","1910","2813051","135719","85252","-10640","48.25","30.31","17.94","2832936","47.91","30.09","17.81","","1"
"Курская","1911","2852915","138320","84875","-489","48.48","29.75","18.73","2879393","48.04","29.48","18.56","","1"
"Курская","1912","2906035","142164","83442","-1605","48.92","28.71","20.21","2934501","48.45","28.43","20.01","","1"
